*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
مُخابَرات	"intelligence service, secret service"
مُنافِس	"adj. competing; n. competitor, rival"
جِدِّيّ	"adj. serious, earnest"
جِدِّيّاً	"seriously, in earnest"
ضاقَ	to be narrow or confined; to be tight (situation)
فارِغ	"adj. unoccupied, not busy, free, idle; empty, void"
رَحِيم	adj. compassionate (God)
عَرَبِيَّة	"Arabic (language); (Egy.) car, automobile"
أشْبه	elat. more/most similar to
رِضًى	"n. approval, satisfaction, pleasure"
*** 2512 - 2526 (/course/66669/1-5000-arabic-frequency-audio/168/)	
جَيْب	pocket; purse; (math.) sine; (anat.) sinus cavity
تَقْسِيم	"n. partition, division; distribution"
ناصِر	"partisan, supporter, follower"
إِغْلاق	"n. locking, closing; barring"
صُعُود	"n. ascent, rise; take-off (aircraft)"
تَشْرِيع	"legislation, legislature"
مُفاجِئ	"adj. surprising; sudden, unexpected"
اِطَّلَعَ	"to review, examine, study sth; to read, peruse sth"
اِضْطِراب	"disturbance, disorder"
نَفْطِيّ	"adj. petroleum, (mineral) oil"
صَلُحَ	"to be suitable, be fitting; be valid"
تُوَفّي	to die
بِيئِيّ	environmental
عاصِفَة 	"storm, tempest"
تَوافُق	"n. congruence, compatibility; agreement, conformity; consensus, concord"
*** 2527 - 2541 (/course/66669/1-5000-arabic-frequency-audio/169/)	
اِسْتَقَرَّ	"to settle down; to stabilize, become stable"
حافَظَ	"to preserve, protect sth"
مَسْرَحِيّ	adj. theatrical
أَحْسَنَ	"to master, be good at sth"
حَرْبِيّ	"(adj) war, military"
عُمْلَة	"currency, money, bills"
مَلِكَة	queen
لاقَى	"to meet, encounter; to find;"
عَقار	"real estate, land property"
كَرِهَ	"to hate, loathe sth/sb; to dislike, have an aversion for sth"
أَغْلَبِيَّة	majority
مُؤَكَّد	"adj. certain, confirmed, established; guaranteed"
شَوْط	"n. round, phase; game, half period;"
قَطَعَ شوطاً	"to make headway, major progress"
مُتَوَفِّر	"adj. available, provided; ample, abundant"
تَوَقُّف	"(vn. V) stopping, halting, pausing"
*** 2542 - 2556 (/course/66669/1-5000-arabic-frequency-audio/170/)	
مُحارَبَة	"n. fight, struggle, combat"
فاتَ	"to pass by, elude sb or sb (time, opportunity); to enter sth; to stop by, visit sb"
صَعُبَ	to be difficult for sb (to do sth)
ناعِم	"adj. smooth, soft; dainty"
ظَنّ	"n. opinion, assumption;"
ظَنّي	I think
جُغْرافِيّ	adj. geographical; n. geographer
عَظْم 	bone
اِنْتَبَهَ	to be careful (with); to pay attention ( to); (not اهتم ب)
مُقْتَرح	"adj. proposed, suggested; n. proposal, suggestion"
أَحاطَ	"to surround, encircle sth"
تَحْدِيث	"vn. updating, renewing; n. update (website)"
مَناخ	"n. climate, atmosphere"
ثَبُتَ	"to be confirmed, be substantiated"
اِنْهِيار	"n. collapse, downfall; breakdown"
هاتِفِيّ	"adj. telephone, telephonic"
*** 2557 - 2571 (/course/66669/1-5000-arabic-frequency-audio/171/)	
صِيانَة	"n. maintenance, preservation"
عَقِيدة	"n. doctrine, dogma; creed, belief, faith (not مذهب)"
مُتَطَلَّب	adj. required;
مُتَطَلَّبات	"requirements, demands"
صُدْفَة	"n. surprise; coincidence, chance"
أَبْعد	farther/farthest (not أقصى)
رُعْب	"n. fright, panic, terror"
مَشْهُور	"adj. famous, well-known"
دافَعَ	to defend sth/sb
أَقَرَّ	"to ratify, accept; to confess sth"
قَهْر	n. coercion; subjugation
عايِز	"(Egy.) a.p. wanting, needing (to want, to need)"
اِسْتِطْلاع	(opinion) poll; investigation; reconnaissance
سائِر	"n. most of, the majority of (not معظم / أغلب)"
مُوسِيقيّ	adj. musical; n. musician
مِيناء	"n. port, harbor"
*** 2572 - 2586 (/course/66669/1-5000-arabic-frequency-audio/172/)	
هٰذانِ	dem.pron. these two (masc.dual)
حَمَى	to protect sth
كِيلُومِتر	kilometer
هَبَّ	"to blow, rage (wind, storm); to , break out (fire); to rise, take a stand;"
طارِئَة	"urgent matter, emergency"
فاتِح	"adj. clear (color); (Dia.) a.p. opening (a window, a business), keeping open"
آمِين	interj. amen!
اِسْتِجابَة	n. acceptance (invitation); granting (request); complying with (demands)
اِسْتِجابَة ل	in compliance with; in response to
مُعَدّ	"adj. prepared, made; n. equipment, material"
غُرْبَة	"n. exile (not نفي، منفى); alienation"
قِياسِيّ	adj. record; analogous
تِكْنُولُوجِيّ	adj. technological
نَصِيب	"n. share, portion, dividend"
ساوَى	"to equalize, make equal sth; to settle between; (Lev.lrq.) to do, make sth"
حاصِل	"n. result; income; adj. (which) happened, occurred; (which) was achieved, was obtained; (who) obtained, earned (degree, certificate)"
*** 2587 - 2601 (/course/66669/1-5000-arabic-frequency-audio/173/)	
إِثارَة	"n. provocation, agitation"
عِشْق	"n. love, fondness (not ود)"
مَدْرَسِيّ	"adj. scholastic, school-related"
عَرُوس	fem.n. bride; (rare) masc.n. bridegroom;
مَرْمىً	"n. goal, target; purpose;"
حارِس المَرْمَى	goalkeeper
إِعْمار	"(n. IV) construction, building, development"
طِراز	"n. model, class, type (not نوع، نمط)"
مُقاطَعَة	"vn. boycott; interruption; n. district, province"
صالَة	n. hall (Italian)
مَنْظَر	"view, scenery; appearance, look"
سِحْر	"sorcery, magic"
ذَكَر	male
سَحاب	coll.n. clouds
مَقْصُود	"n. purpose, intent; aim, goal; adj. deliberate, intentional"
مُساواة	"n. equality, equal rights"
*** 2602 - 2616 (/course/66669/1-5000-arabic-frequency-audio/174/)	
اِنْضِمام	"n. joining, being added to ; affiliation; annexation"
مُنْتَظَر	"adj. anticipated, expected (not متوقع)"
طُنّ	n. ton
نَظِير	"n. counterpart, opposite number; colleague, peer;"
نَظِيَرَ	"in return for, in exchange for"
مَلِيء	"adj. full, filled"
عَجِزَ	"to be incapable, unable if to do sth"
نُهوض	"n. promotion, advancement, furthering"
مُخْلِص	adj. sincere; loyal
جذْر	"root, stem"
جُذُور	"roots, origins, heritage"
عِبْء	"burden, load"
ظالِم	"n. oppressor, tyrant; adj. oppressive, tyrannical"
مُفَضَّل	"adj. preferred; favorite, best (friend)"
اِقْتَصَر	"to be limited to; to abbreviate, shorten sth"
بُرْج	"n. tower; constellation; zodiac, horoscope"
طَلاق	n. divorce
*** 2617 - 2631 (/course/66669/1-5000-arabic-frequency-audio/175/)	
لَبِسَ	to put on (clothes); to wear;
لابِس	"(Dia.) a.p. wearing, sporting"
مُكَوِّن	"n. component, constituent, element; adj. forming, comprising, constituting"
إِصْبَع 	finger
أتاحَ	"to grant, provide (opportunity)"
تَعِبَ	to be or become tired; to get tired of sth
ضِياع	n. loss; waste (esp. of time)
تَدْرِيبِي	"adj. practice, exercise; training, coaching"
نَقْد	"money, cash"
سامٍ	"lofty, exalted, sublime"
أَطْوَل	longer/longest; taller/tallest
جِدِّيَّة	"n. seriousness, earnestness"
تَكْرار	"n. repetition, reiteration; frequency"
تَكْراراً	"repeatedly, frequently"
رايِح	(Dia.) a.p. going
تَكَوَّنَ	"to be composed, consist of"
مَعْلوم	adj. known;interj. of course! definitely!
*** 2632 - 2646 (/course/66669/1-5000-arabic-frequency-audio/176/)	
حِقْد	"n. hatred, resentment (not كراهية، كره)"
مالَ	"to bend, incline, lean towards; to have a tendency, inclination, preference for; to sympathize with"
نَشَأَ	"to grow, develop; to grow up, be raised; to arise, originate (not نما)"
كَرَّرَ	"to repeat sth, do sth again; to filter, distill; to refine (petroleum)"
حُلُول	"vn. advent, arrival; start, beginning; replacing, taking the place of"
وَقَّفَ	"to stop, detain sb; (Dia.) to stand, stand still; to stop (doing sth); to turn off, stop sth; to park (car)"
مُكَثَّف	"adj. intensive, heightened; thick, concentrated; compressed"
تَوْصِيَة	"n. recommendation, advice (not نصيحة، اقتراح)"
رَخِيص	"adj. cheap, inexpensive"
عَثَرَ	"to find, discover, come across sth"
إماراتِي	n./adj. Emirati (of or relating to the United Arab Emirates)
دَمَّرَ	"to destroy, demolish sth; to wreck, ruin, damage sth"
حَيَّ	"to live, be alive; to experience, witness (a life of)"
رَمَى	"to attempt, pursue, intend, aim at sth (as a goal); to throw, fling sth or sth (at sb); to pelt, shoot at sb with (stones, bullets)"
شِراكَة	n. partnership
*** 2647 - 2661 (/course/66669/1-5000-arabic-frequency-audio/177/)	
عابِر	"adj. passing by or through, crossing over; trans-, inter-; fleeting, transient, brief"
خَوْض	"n. waging, embarking on, carrying out; plunging (into)"
اِسْتِكْمال	"n. conclusion, termination, completion (not إكمال)"
فَرِيد	"adj. unique, exceptional, singular"
عَسَى	"adv. perhaps, maybe that ( subj)"
عَساك	I hope (that) you
ماذا عَساني أَنْ	"what could I possibly (do, say)?; (irq .Gul.) hopefully;"
عِقاب	"n. punishment, penalty"
تَلْبِيَة	"vn. meeting (needs), fulfilling (desires, expectations); complying with (request) (not استجابة)"
وَضَّحَ	"to clarify, explain (to sb) that (not بين)"
حيرَة	"n. confusion, bewilderment; embarrassment (not إرباك)"
غُبار	n. dust
طَقْس	"n. weather, climate (not جو، هواء)"
فقْدان	n. loss; bereavement
مَدار	"n. orbit, sphere; scope, range; axis, pivot; center, focus"
بابا	"pope; daddy, papa;"
كِيس	"bag, sack"
*** 2662 - 2676 (/course/66669/1-5000-arabic-frequency-audio/178/)	
اِحْتِجاج	n. protest
اِحْتِجاجاً	"protesting, in protest of"
مانِع	"n. obstacle, impediment; adj. preventing; forbidding"
وَقُود	n. fuel
دَجاج	"coll.n. chickens, poultry"
نَهْج	"n. method, procedure; way, path"
تَسْمِيَة	"n. naming, appellation, designation"
هامِش	"n. side, margin; periphery, sideline"
حان	"to arrive, approach (time)"
تَكْرِيم	"n. honoring, respecting, paying tribute;"
تكريما ل	in honor of
راجِع	"returning, going back to; (to be) traced back, attributed, due to"
نَهْضَة	n. renaissance
اِعْتِقاد	"(vn. VIII) belief in sth, or that"
باطِل	"adj. false, baseless; invalid; null, void; n. falsehood;"
اِتَّضَحَ	"to become clear, to be clarified that"
تَصَدِّي	"n. resistance, confrontation (not مواجهة)"
*** 2677 - 2690 (/course/66669/1-5000-arabic-frequency-audio/179/)	
أَسْهَمَ	"to participate, contribute, share (not شارك)"
قِيامَة	n. resurrection
يَوْم القِيامَة	Judgment Day
مَيْدانِيّ	"adj. field (work, research), survey; ground (troops)"
مُتاح	"adj. provided, available, granted (not متوفر)"
بَرِّيّ	"adj. land, rural; by land, land-based; wild (flower, fruit, honey)"
وَعَدَ	to promise (sb) sth or that
أَخْبَر	"to notify, inform, tell sb about sth that"
حائِط	"n. wall (not سور، جدار)"
غامِض	"adj. obscure, vague, ambiguous; enigmatic, mysterious, inscrutable"
أَيْسَر	"left, left hand"
خَريطَة	"n. map, chart"
خَرِيطَة الطَّرِيق	road map
شَكْوَى	"complaint, grievance"
رُؤْيا	"vision, dream; idea, picture"
تَعَرُّض	"vn. exposure to sth; encountering, running into, having to deal with sth; suffering (loss)"
*** 2691 - 2705 (/course/66669/1-5000-arabic-frequency-audio/180/)	
مُحاسَبَة	"n. examination, review; accounting, bookkeeping; accountability, oversight"
بَيْض	coll.n. eggs
عِمْلاق	"adj. gigantic, huge; super"
لُجُوء	vn. resorting to; taking refuge in; n. refuge; (political) asylum
رَقِيق	"adj. gentle, delicate; slender; coll.n. slaves"
مَوْضِع	"n. place, location, position; object, subject, focus (of interest, attention, concern)"
تارَةً	"once; at times, sometimes (not أحيانا)"
تَفاعُل	"n. interaction, reaction; reciprocity"
مُفَكِّر	intellectual (not فكري)
اِضْطَرَّ	"to compel, force, oblige sb to do sth;"
وَزَّعَ	(v. II) to distribute sth among
زِلْزال	earthquake
شَرَحَ	"to explain sth to sb (not وضح، أوضح، فسر)"
اِنْتِفاضَة	n. uprising
اِرْتَدَى	"(v. VIII) to wear, put on (clothes)"
*** 2706 - 2720 (/course/66669/1-5000-arabic-frequency-audio/181/)	
فِلْس	fils (monetary unit)
فارِس	"horseman, rider; knight"
نَمَط	"type, kind; manner, style, form; (tech.) model, configuration"
غِطاء	n. cover; blanket
شُعاع	"ray, beam"
كَتِيبَة	"squadron, brigade, regiment; corps"
طَبَّقَ	"to implement (plan, project, decision, strategy); to apply, enforce, carry out (law, regulation, standards)"
مُتَطَرِّف	"n./adj. extremist, militant, radical"
أَخْفَى	"to hide, conceal sth (from sb); to lower (one's voice)"
برضو	"(Egy.Lev.) adv. also, too"
فائِز	"adj. victorious, winning; n. winner, victor"
جَرَّبَ	"to tryout, test sth; to sample, taste sth; to tempt, test sb"
مُدِيرِيَّة	
عِبادَة	"vn. worship, adoration, religious practice"
اِفْتَتَحَ	"to open, inaugurate (conference, school)"
*** 2721 - 2735 (/course/66669/1-5000-arabic-frequency-audio/182/)	
هاذ	(Lev.lrq.Gul.) dem.pron. this (masc.sg)
مُعْتَمَد عليه	"p.p. depended upon; adj. authorized, dependable; accredited; n. agent, representative"
مُظاهَرَة	"demonstration, rally"
أَوْسَع	"broader/broadest, wider/widest"
اِسْتَدْعَى	"to summon, call sb; to recall, call back sb; to invoke sth"
عَقارِيّ	adj. real estate; land mortgage
سَهَّلَ	"to facilitate, make easy, help"
حَقَّ	to be right
كَثُرَ	"to be numerous, plentiful; to be more (than sth)"
حِمار	donkey
حِمارَة 	fem. donkey; she-ass
يا حمار	hey dummy! you idiot!
حَنِين	"n. yearning, nostalgia"
حَدا	"(Lev.) n. anyone, somebody;"
ما حَدا	(Lev.) nobody
كَوْكَب 	planet; star
مُتَبادَل	"adj. mutual, reciprocal; exchanged"
اِفْتَرضَ	"to assume, suppose sth or that"
*** 2736 - 2750 (/course/66669/1-5000-arabic-frequency-audio/183/)	
مُغادَرَة	n. departure
اِنْطَبَقَ	to be applicable (to); to conform (with)
عَذْب	"adj. sweet, pleasant"
مِياه عَذْبَة	freshwater
اِنْسَحَبَ	"to withdraw, leave (cr- from); to pull out, withdraw (armed forces)"
عاطِفَة  	"emotion, sentiment; affection"
مُعَبِّر	"a.p. expressing (opinion, feeling), stating (position, policy)"
عَقَبَة	"n. obstacle (not حاجز، عائق)"
فِراش	n. bed
سِرِّيَّة	n. secrecy
عَبَث	"n. joke, jest; frivolity;"
عَبَثاً	in vain
إِسْبانِيّ	"Spanish, Spaniard"
ضاحِيَة 	"suburb, neighborhood, vicinity"
تَضامُن	"n. solidarity, cooperation"
نُفُوذ	"n. influence, effect"
مُماثِل	"adj. similar, analogous; resembling"
*** 2751-2765 (/course/66669/1-5000-arabic-frequency-audio/184/)	
خَلِيفَة	(masc.) successor; caliph
إِصْرار	"insistence, determination"
جَزِيل	abundant
تَحْتِيّ	under; infra-(structure)
خَيْط	"string, thread; clue"
قُبَيْلَ	shortly before
سائِد	"prevailing, ruling"
أَعْمَى	blind
اِبْتِداء	beginning (not بدء)
سَراح / إطلاق سراح	release;
مائِدَة	table
فَرَّقَ	"to differentiate, distinguish (between); between; to disperse, break up, split up"
أُنْثَى	female (not مؤنث)
اِطِّلاع	"inspection, perusal of sth."
أَعَدَّ	"to prepare, make ready sth."
*** 2766 - 2780 (/course/66669/1-5000-arabic-frequency-audio/185/)	
لاقَ	"to be proper, suitable for s.o. (I)"
عَمالَة	"workforce, employees"
مَنْظُومَة	"system, structure; hierarchy"
مُعَقَّد	"complicated, complex"
قَسْوَة	"harshness, severity (not شدة)"
جَدِير	"adj. worth (mentioning, pointing out); appropriate, proper for sb (to do sth)"
اِسْتِيعاب	(n. X) comprehension; absorbing
غَداء	lunch; midday meal
ياريت	"(Lev.) if only, I wish"
شابَّة	"young woman (not صبية، فتاة)"
أوان / آونة	time / moment
ضيق	narrowness / shortness / lack of / shortage
تخلّى عن	to give up / to abandon / to relinquish / to surrender
ملكية	property / ownership / possession
صوّر	to film / to photograph / to draw / to portray / to depict
*** 2781 - 2795 (/course/66669/1-5000-arabic-frequency-audio/186/)	
أَكادِيمِيّ	adj. academic; n. scholar
نَبات	"(coll.) plants, vegetation"
مُظْلِم	"adj. dark, gloomy"
مُطالِب	"a.p. demanding, claiming; n. claimant"
تحمل	bearing / carrying / shoudering
تفاوض	negotiation / debate / discussion (v. VI)
مظلم	dark / gloomy
عزز	to strengthen / to bolster / to reinforce
بَعُدَ	to be located / to be situated (not وقع)
تقني	technical
منظَّم	organized / arranged / systematic / disciplined
مركب	installed / assembled / composed / consisting of / compound / complex
تناسب	to be compatible / to be appropriate
داء	sickness / disease / disorder / ailment
بَرّ	land / mainland / dry land / earth
تواجد	presence / existence
*** 2796 - 2810 (/course/66669/1-5000-arabic-frequency-audio/187/)	
عَلَّ	"perhaps, maybe; (not ربما، قد، لعل)"
تَحْضِير	preparation; production
طِيلَة	"throughout, during (the entire) / (not طوال، عبر، أثناء، خلال، من خلال)"
غاضِب	"angry, irate"
مُكَلَّف	"charged, entrusted; responsible"
تَأْخِير	"delay, postponement"
شَفّافِيَّة	"transparency; clarity, openness"
نَبات	"(coll.) plants, vegetation"
سَرقة	stealing / theft
دَهر	fate / fortune / lifetime / eternity
مِلح	salt
فتوى	fatwa / religious edict
حَوْل	"power / might (not قوة، سلطة)"
مُسجِّل	(audio) recorder / recording / scoring (point)
غَلَط	error / mistake
تَأجِيل	postponement / delay / deferment / extension
*** 2811 - 2825 (/course/66669/1-5000-arabic-frequency-audio/188/)	
جامِع	mosque (not مسجد)
شِفاء	"cure, remedy; medication"
وَداع	"departure, exit; farewell!"
مُعادَلَة	"equation, balance"
تَسامُح	"tolerance, forbearance"
كامِيرا	camera
اِشْتِباك	"skirmish, clash"
مَصْرَفِيّ	"adj. bank, banking"
مَسَّ	to touch sth.; to violate sth. (not لمس)
انعكس	to be reflected; to have an effect on
متزايد	growing; increasing; rising
نطق	to speak; to utter; to pronounce
رجا	(sg) side wall; (pl) regions; areas
حال دون	to prevent (from happening)
صاح	to scream; to cry out; to shout
*** 2826 - 2840 (/course/66669/1-5000-arabic-frequency-audio/189/)	
عُذْر / عذرا	excuse; apology; excuse me
مُنْطَلَق	premise; starting point; launch pad
اِنْقِلاب	"coup, overthrow, toppling"
مُسَمّىً	"n. title, name; adj. called"
قِياس	measurement; analogy; comparison
خِرِّيج	graduate (m)
مُؤامَرَة	"conspiracy, plot"
دِعايَة	advertisement; propaganda
كادِر	"cadre, key group, staff"
ناري	"fire, fiery; gunfire"
متواضع	"modest, humble"
متكرِر	"repeated, recurring; frequent"
مكوَن	composed of; consisting of
فائق	"boundless, exceeding; outstanding, excellent"
طَبْقَ / طَبْقاً لِ	"in accordance with / in confirmity with (not وفقا، حسب)"
*** 2841 - 2855 (/course/66669/1-5000-arabic-frequency-audio/190/)	
مِرْآة	mirror
عَوْلَمَة	globalization (from world)
مُصالَحَة	"conciliation, compromise"
مَرارَة	bitterness; gall bladder
واجِد	"and وايد  adv. very, a lot"
مَخافَة	"fear, anxiety; worry (not خوف، خشية)"
الحِين	(Gul.) now
عَشِيَّة	"evening; eve, night before"
اِسْتِئْناف	resumption; appeal
مَهْما	"whatever, no matter how"
غَسَلَ	"to wash, clean sth."
مؤلم	"painful, aching; saddening, distressing"
قارب	to approach; to approximate (not تقارب)
كثر	"abundance; much, a lot; excessive amount"
فُلان	so-and-so; such-and-such
*** 2856 - 2870 (/course/66669/1-5000-arabic-frequency-audio/191/)	
عَشِيَّة	"evening; eve, night before"
اِسْتِئْناف	resumption; appeal
أَصِيل	authentic; native; pure
مَشْي	"vn. walking, going"
صَوْتِيّ	"verbal, vocal; acoustic, phonetic"
اِسْتَعْمَلَ	"to use, make use of, employ (not اِسْتَخْدَمَ)"
عالَجَ	to treat; to deal with; to process (not عامل)
ثمر	"fruit; result (not كافهة، نتيجة)"
تغذية	feeding; nutrition
طعم	flavor; taste
متعة	"pleasure, enjoyment (not لهو)"
مجرى	"course, path; (pl) events"
معلق	"suspended, hanging"
خصوصي	"private, personal; special (not خاص، شخصي)"
فخر	pride; boasting
صلاحية	viability; (pl) privileges
*** 2871 - 2885 (/course/66669/1-5000-arabic-frequency-audio/192/)	
مُعْتَبِر	"considering, regarding"
أَدارَ	"to direct, manage sth.; to turn"
مَهارَة	"capability, skill; ability (not كفاءة)"
*** 2886 - 2900 (/course/66669/1-5000-arabic-frequency-audio/193/)	
سَلَف	coll. ancestors; n. advance (payment)
تَنازُل	vn. backing down; n. concession (not تراجع)
عِمارَة	"building, edifice, structure (not مَبْنىً - بِنَايَة)"
تَرْحِيب	"welcome, welcoming; greeting"
*** 2901 - 2915 (/course/66669/1-5000-arabic-frequency-audio/194/)	
مُتَطَوِّر	"advanced, developed; modern"
مُهاجِم	assailant; striker (soccer)
أَمْثَل	more/most ideal (not أفضل)
واثِق	"confident, certain"
*** 2916 - 2930 (/course/66669/1-5000-arabic-frequency-audio/195/)	
بَرْمِيل	barrel; vat; drum
حَوْض	"basin, reservoir; aquarium"
نَيْل	"attainment; acquiring, gaining"
شُورَى	"consultation, deliberation; Shura"
حاسِم	"decisive, final; key, critical (≠ نهائي، قاطع)"
خِيانَة	"treason, treachery; betrayal; infidelity"
*** 2931 - 2945 (/course/66669/1-5000-arabic-frequency-audio/196/)	
حَقِيبَة	"briefcase, portfolio; suitcase; bag"
اِرْتِباط	"bond, connection (not صلة، علاقة، ربط)"
مَجْمَع	assembly; academy
"بَيْدَ، بَيْدَ أَنَّ"	"although, however (not رغم، إنما، مع أن، لكن)"
عَزْم	"will, determination to do sth. (not إرادة)"
*** 2946 - 2960 (/course/66669/1-5000-arabic-frequency-audio/197/)	
عاجِز	a.p. unable to do sth.; adj. helpless
قاطِع	decisive; a.p. interrupting; traversing (a distance); (n) cutter
عُطْلَة	"vacation, holiday, recess"
اِبْتِدائِيّ	"adj. elementary, basic; initial"
*** 2961 - 2975 (/course/66669/1-5000-arabic-frequency-audio/198/)	
كَراهِيَّة	"hatred, loathing; dislike, aversion (not كره، حقد)"
مَنْدُوب	"delegate, deputy, agent"
صِياغَة	"drafting, composing; formulation (not رسم)"
*** 2976 - 2990 (/course/66669/1-5000-arabic-frequency-audio/199/)	
خَمْر	"liquor, wine, alcohol"
تَخَلُّف	backwardness; underdevelopment
إِقْبال	approach; concern for; interest in
مُسْتَهْلِك	consumer; adj. consuming
مُدافِع	defender; adj. defending
*** 2991 - 3005 (/course/66669/1-5000-arabic-frequency-audio/200/)	
آخِرَة	the hereafter
قَطُّ	"(not) at all, never; nothing, no-one"
مُعْلَن	"declared, announced; posted"
حِرْمان	"deprivation, prohibition"
اِحْتَمَلَ	to tolerate; to expect
*** 3006 - 3020 (/course/66669/1-5000-arabic-frequency-audio/201/)	
تَعادُل	"balance, equilibrium (not موازنة); (sports) tie"
بارِحَة	"yesterday, yesteryear"
سِينَمائِيّ	"cinema, cinematographic"
اِسْتِهْلاك	"consuming; exhaustion, depletion"
مُراعاة	"deference, respect; compliance (not احترام)"
*** 3021 - 3035 (/course/66669/1-5000-arabic-frequency-audio/202/)	
بُورْصَة	stock exchange
كِفايَة	adequacy; performance; competence
خَرِيف	"autumn, fall"
عَقِيد	colonel; (in titles) Colonel
*** 3036 - 3050 (/course/66669/1-5000-arabic-frequency-audio/203/)	
أَسىً	"affliction, sorrow, grief (not حزن)"
تَوالٍ	consecutive succession
قَيِّم	valuable; n. responsible for
*** 3051 - 3065 (/course/66669/1-5000-arabic-frequency-audio/204/)	
وِيّا	with;
مُخالِف	against (the law); n. offender
اِقْتِراب	approach; getting near (vn. VIII)
راقِي	ascending; advanced; high-class
اِسْتِعْمار	colonialism
مَضْمُون	"content; adj. guaranteed, insured"
*** 3066 - 3080 (/course/66669/1-5000-arabic-frequency-audio/205/)	
وُدِّيّ	"friendly, cordial, warm"
شَجاعَة	courage
رَقْص	"dance, dancing"
نُزُول	descent; losing (weight); resignation
اِنْقَلَبَ	to turn around/over ) (VII)
*** 3081 - 3095 (/course/66669/1-5000-arabic-frequency-audio/206/)	
لَبَن	(Egy.) milk; (Lev.Irq.) yoghurt
مُسْتَخْدِم	vn. using; n. user
يا تُرَى	(Dia.) (modal) perhaps
*** 3096 - 3110 (/course/66669/1-5000-arabic-frequency-audio/207/)	
قِطّ	cat;
مَبْنِيّ	"built, based (on)"
تَجَنُّب	"avoidance, avoiding"
حِيالَ	"concerning, regarding (not يتعلق، بشأن، فيما)"
دافِئ	warm;
*** 3111 - 3125 (/course/66669/1-5000-arabic-frequency-audio/208/)	
مَنْشُور	n. brochure; adj. published
مَضْبُوط	"controlled, regulated; accurate, precise"
مُهْتَمّ	adj.;n. concerned (person)
خاضَ	"to wage (war, campaign) (not حارب)"
*** 3126 - 3140 (/course/66669/1-5000-arabic-frequency-audio/209/)	
أولمبي	Olympic
تَبَنٍّ	adoption
تَصْحِيح	correction
مِشْوار	"walk, stroll, promenade"
*** 3141 - 3155 (/course/66669/1-5000-arabic-frequency-audio/210/)	
تَبَنٍّ	adoption
عَداء	"aggression, hostility; enmity (not عدوان)"
اِخْتِصار	abbreviation;
مُشاهِد	"viewer, spectator"
فَضِيلَة	virtue; His Eminence
*** 3156 - 3170 (/course/66669/1-5000-arabic-frequency-audio/211/)	
حِلْف	"alliance, treaty (not تحالف)"
قُرابَةَ	"almost, nearly (not تقريبا، حوالي، بالكاد، غالبا)"
اِبْتِعاد	avoiding; distancing oneself
كُلْفَة	"cost, overhead"
*** 3171 - 3185 (/course/66669/1-5000-arabic-frequency-audio/212/)	
قَناعَة	"conviction, belief (not اعتقاد، إيمان)"
اِعْتِذار	apology; excuse
تَزايُد	"(gradual) growth, increase, rise (# رفع، ازداد، زيادة)"
إنشالله	(Dia.) hopefully
تِلْوَ	"after, followed by"
تَدَهْوُر	"decline, deterioration; fall, drop"
اِسْتَيْقَظَ	to wake up; to be alert
*** 3186 - 3200 (/course/66669/1-5000-arabic-frequency-audio/213/)	
تَحْكِيم	arbitration
لَجْنَة تَحْكِيم 	jury
مَجّاناً	"adv. for free, free of charge"
مُغامَرَة	"adventure, risk"
لَعْنَة	"curse, oath; enchantment, spell"
*** 3201 - 3215 (/course/66669/1-5000-arabic-frequency-audio/214/)	
خَيّ	(Lev.Magh.) brother (not أخ)
*** 3216 - 3230 (/course/66669/1-5000-arabic-frequency-audio/215/)	
بِئْر	"well, spring (not منبع)"
نَظافَة	cleanliness
مَسِيح	"Christ, the Messiah"
حَصْر	containment; limits
مِيثاق	"treaty, pact (not مُعاهَدَة)"
هُبُوط	"drop, fall; descent; landing (not سقوط)"
سَتَرَ	"to veil, cover, hide sth. (not غطى)"
*** 3231 - 3245 (/course/66669/1-5000-arabic-frequency-audio/216/)	
حَشْد	(mil.) buildup; n. crowd
بِتاع	belonging to; of
تَأْيِيد	"assistance (not مساعدة، دعم، عون)"
*** 3246 - 3260 (/course/66669/1-5000-arabic-frequency-audio/217/)	
مُوازَنَة	"budget; balance, comparison (not ميزانية)"
أَكادِيمِيَّة	academy
تَنْظِيف	cleaning
تَنافُس	"competition, rivalry (not منافسة)"
مُسْتَخْدَم	"used, utilized (≠ مُسْتَعْمَل)"
مُتَفَرِّق	"diverse, different; scattered (not متنوع، مختلف)"
*** 3261 - 3275 (/course/66669/1-5000-arabic-frequency-audio/218/)	
أَقْبَلَ	to approach s.o./sth. (not اقترب)
بَحْرَيْنِيّ	Bahraini
طِين	clay; mud;
*** 3276 - 3290 (/course/66669/1-5000-arabic-frequency-audio/219/)	
مُفْتَرَض	"assumed, presumed"
كَتِف	(fem.) shoulder (not عاتق)
ذِراع	"arm; lever, crank"
قَدِير	"capable, efficient"
تَنَوُّع	"variety, diversity"
أَقْدَمَ	"to undertake, tackle, approach على sth. (IV)"
*** 3291 - 3305 (/course/66669/1-5000-arabic-frequency-audio/220/)	
لِلتَّوِّ	"immediately (not حالا، فورا، عاجلا)"
اِرْتِكاب	"commission (crime, error)"
بِسْمِ اللهِ	in the Name of God
هَيْمَنَة	"control, power; domination (≠ سُلْطَة - سَيْطَرَة)"
