*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
la legra	"scoop, scraper"
*** 1751 - 1760 (/course/195614/spanish-nouns-5/176/)	
la libertina	libertine
el librador	drawer
la limosnera	beggar
el machote	tough guy
la mahonesa	mayonnaise
la maloclusión	malocclusion
el mamey	"mammee, mamee, mamey"
la mamoplastia	mammoplasty
la mandarria	sledgehammer
el mariposeo	fluttering
*** 1761 - 1770 (/course/195614/spanish-nouns-5/177/)	
el mendelevio	mendelevium
la mendiguez	beggary
el mesotrón	mesotron
el metacentro	metacentre
la metida	"putting, insertion"
el metomentodo	busybody
la microinformática	microcomputers
el microsurco	microgroove
la minicámara	mini camera
la minicomputadora	minicomputer
*** 1771 - 1780 (/course/195614/spanish-nouns-5/178/)	
(el)(la) mistral	mistral
el monomaníaco	monomaniac
la mundanalidad	worldliness
el necrófilo	"necrophile, necrophiliac"
el negrón	scoter
el neocatolicismo	neo-Catholicism
la nesciencia	nescience
el nietecito	grandson
el numismático	numismatist
el nutrimiento	nurturing
*** 1781 - 1790 (/course/195614/spanish-nouns-5/179/)	
el oftalmoscopio	ophthalmoscope
la oriundez	"ancestry, and"
el orozuz	licorice
el pamplonés	Pamplona
la papaverina	papaverine
el pastón	Paxton
el pedantismo	"pedantism, pedanticism"
el peñazo	Peñaza
el pentateuco	Pentateuch
la perceptibilidad	perceptibility
*** 1791 - 1800 (/course/195614/spanish-nouns-5/180/)	
el periodicucho	rag
el periquín	Periquín
la perspicuidad	perspicuity
el persuasor	persuader
el pesillo	assay balance
la plancheta	planchet
la plantadora	planter
la plebeyez	plebeian
la polifagia	polyphagia
la políglota	"polyglot, linguist"
*** 1801 - 1810 (/course/195614/spanish-nouns-5/181/)	
la popelina	poplin
el portafusil	sling
la primeriza	gilt
la propagadora	propagator
el propino	propyne
la prorrata	"division, split, share"
el protio	protium
el prurigo	prurigo
el psicrómetro	psychrometer
el publirreportaje	infomercial
*** 1811 - 1820 (/course/195614/spanish-nouns-5/182/)	
la pudicicia	"pudicity, pudency"
la pulseada	wrestling
el quincenario	fortnightly
el quintín	Quentin
la radioayuda	navaid
la radioscopia	radioscopy
la reprobadora	reproving
el rimador	"rhymer, rhymester"
la riñonada	chines
la saloma	"chantey, shanty, chanty"
*** 1821 - 1830 (/course/195614/spanish-nouns-5/183/)	
la sanjuanada	Sanjuanada
la serviola	cathead
el sesquicentenario	sesquicentennial
la siderita	siderite
la siringe	syrinx
el socaire	lee
el sofismo	"sophism, casuistry, quip"
la solanina	solanine
el solazo	scorching sun
el solito	alone
*** 1831 - 1840 (/course/195614/spanish-nouns-5/184/)	
el somorgujo	loon
la sorpresita	surprise
la sovietización	Sovietization
el subarrendamiento	sublease
la subcampeona	runners
la suberina	suberin
(el)(la) subintendente	superintendent
la subyugadora	subduing
el súmmum	acme
el superrealismo	superrealism
*** 1841 - 1850 (/course/195614/spanish-nouns-5/185/)	
(el)(la) suricata	meerkat
el telesquí	ski-lift
la termoclina	thermocline
el tetrámero	tetramer
el tingladillo	clinker
la tiroglobulina	thyroglobulin
el tontorrón	"dink, dimwit"
la tortillera	"dyke, dike, lesbian"
el trabuquete	trebuchet
el tragacanto	tragacanth
*** 1861 - 1870 (/course/195614/spanish-nouns-5/186/)	
el empaquetador	packer
el vericueto	rough path
(el)(la) dietista	dietician
el veintidós	"twenty-two, twenty-second"
el veintitrés	"twenty-three, twenty-third"
el caraqueño	Caracas person
la administrada	administered
(el)(la) adoptante	adopter
los lejitos	afar
(los)(las) africanistas	Africanists
*** 1851 - 1860 (/course/195614/spanish-nouns-5/187/)	
el trastrocamiento	reversal
la trioleína	triolein
la trombosis	thrombosis
el tumbadillo	cuddy
el tutu	ballet skirt
el uretano	urethane
el ventoso	burglar
la vírgula	virgule
(el)(la) yudoca	judoka
el retrógrado	"retrograde, stuffy"
*** 1871 - 1880 (/course/195614/spanish-nouns-5/188/)	
el exalumno	alumnus
la amarilis	amaryllis
(el)(la) anabaptista	Anabaptist
los anostráceos	anostraceans
los arahuacos	Arawaks
el arboricultor	arborist
el artejo	article
(los)(las) asociales	asocial
el ateles	ateles
la chirla	baby clam
*** 1881 - 1890 (/course/195614/spanish-nouns-5/189/)	
la empacadora	baler
los bisayos	Bisayan
el blocao	blockhouse
los bombachos	bloomers
el ensalmador	"bonesetter, quack"
el trinquis	boose
los patucos	booties
la internada	"break, breakaway"
los briófitos	bryophytes
la galga	"burial platform, rash, yellow ant"
*** 1891 - 1900 (/course/195614/spanish-nouns-5/190/)	
el antropófago	"cannibal, anthropophagite"
los capadocios	Cappadocian
la carantoña	"caress, buttering up, blandishment"
el redaño	caul
los tajadores	choppers
el cromóforo	chromophore
el crisólito	chrysolite
el circasiano	Circassian
(los)(las) civilistas	Civilistas
los coacusados	codefendants
*** 1901 - 1910 (/course/195614/spanish-nouns-5/191/)	
la coetánea	coeval
la coña	coif
el columbario	columbarium
el coheredero	coparcener
el copartidario	copartisan
(los)(las) cris	creese
los baldados	crippled
las crucíferas	cruciferous
(el)(la) conquense	Cuenca
la cultivadora	cultivator
*** 1911 - 1920 (/course/195614/spanish-nouns-5/192/)	
el expendedor	"dealer, retailer"
el dialogismo	dialogism
el diplococo	diplococcus
la desamortizadora	disentailment
el diurético	diuretic
la chupada	"drag, pull, suck"
la cajonera	drawers
las chorreaduras	drippings
(el)(la) dualista	dualist
los idumeos	Edomites
*** 1921 - 1930 (/course/195614/spanish-nouns-5/193/)	
los briones	embryos
el empírico	"empiric, empiricist"
la encefalomielitis	encephalomyelitis
la endorfina	endorphin
el epiciclo	epicycle
el équido	equine animal
el escalope	"escalope, scallop, escallop"
(los)(las) etimologistas	etymologists
el ejemplario	EXEMPLARY
el formante	formant
*** 1931 - 1940 (/course/195614/spanish-nouns-5/194/)	
la estantigua	"fright, apparition, thing"
la ñoñería	"fussiness, shyness, insipidness"
la galeaza	galleass
el acopiador	gatherer
(el)(la) carcamal	geezer
el guardamonte	guard
la gomorresina	gum rosin
el agareno	Hagrite
los semipesados	heavyweight
el helicón	helicon
*** 1941 - 1950 (/course/195614/spanish-nouns-5/195/)	
el henrio	henry
(el)(la) heraldista	"heraldist, armourist, armorist"
las heroidas	Heroides
los chupetones	hickeys
la hipotiposis	hypotyposis
los iranios	Iranians
el sota	"jack, knave"
la gramola	jukebox
la kilocaloría	kilocalorie
los kilolitros	kiloliters
*** 1951 - 1960 (/course/195614/spanish-nouns-5/196/)	
el kilotón	kiloton
el lantánido	lanthanide
(el)(la) latinista	Latin scholar
el leccionario	lectionary
el lebrato	leveret
(el)(la) liliputiense	lilliputian
la lunación	lunation
los lujuriosos	lustful
el lírico	lyrist
el macarrón	"macaroon, sheath, sleeve"
*** 1961 - 1970 (/course/195614/spanish-nouns-5/197/)	
(el)(la) malgache	madagascan
las majuelas	Majuelas
los maltusianos	Malthusians
los mamposteros	masons
los masoretas	Massoretes
la meninge	meninges
el menstruo	"menses, menstruation"
(el)(la) metalurgista	metallurgist
(el)(la) metodista	Methodist
la desorientadora	misleading
*** 1971 - 1980 (/course/195614/spanish-nouns-5/198/)	
los monotipos	monotypes
las mutiladas	mutilated
el amotinado	"mutineer, rioter"
el nanosegundo	nanosecond
(el)(la) naturista	naturist
el nautilo	"nautilus, pearly nautilus"
(los)(las) neutralistas	neutralist
la liendre	nit
el ocelo	ocellus
el octosílabo	"octosyllabic, octosyllable"
*** 1981 - 1990 (/course/195614/spanish-nouns-5/199/)	
el disyuntor	on-off switch
la onicomicosis	onychomycosis
la operada	operated
(el)(la) sobresaliente	"outstanding, distinction"
los canaletes	paddles
(el)(la) libelista	pamphleteer
el partisano	partisan
el paternóster	paternoster
las mondaduras	peelings
las pernetas	Pernetas
*** 1991 - 2000 (/course/195614/spanish-nouns-5/200/)	
el perojo	Perojo
las obvenciones	perquisites
las piperáceas	piperaceae
la faneca	pout
los pozancos	Pozancos
(el)(la) preceptista	preceptist
los premonitores	premonitory
los prensadores	pressers
los procordados	Prochordates
el profiláctico	"prophylactic, condom"
*** 2001 - 2010 (/course/195614/spanish-nouns-5/201/)	
los cuasicontratos	quasi
el quídam	Quidam
los radiolarios	radiolarians
el reciario	retiarius
los rotíferos	rotifers
la salvilla	"salver, cruet"
el marés	"sea, ocean"
el sellador	sealant
la selenita	selenite
el semiconductor	semiconductor
*** 2011 - 2020 (/course/195614/spanish-nouns-5/202/)	
el servomotor	servomotor
los sextillizos	sextuplets
el corista	showgirl
(el)(la) feriante	showman
la eslava	"Slav, Slavic, Slavonic"
las despabiladeras	snuffers
(los)(las) sudistas	Southerners
(los)(las) rigoristas	sticklers
las paladas	strokes
el incontrolado	"strong-arm man, violent person"
*** 2021 - 2030 (/course/195614/spanish-nouns-5/203/)	
los domingueros	sunday
el empollón	"swot, grind, wonk"
las sinodales	Synod
el siracusano	Syracusan
(los)(las) tanquistas	tankers
el tétano	tetanus
el teutón	Teuton
el hambriento	"the hungry, the starving, hungry people"
(los)(las) tesalonicenses	Thessalonians
el breñal	thicket
*** 2031 - 2040 (/course/195614/spanish-nouns-5/204/)	
el treintañero	thirtysomething
los trilladores	threshers
(el)(la) tolteca	Toltec
el tóxico	"toxic, poison, toxin"
la vagabunda	"tramp, vagabond, wanderer"
los teucros	Trojans
el turcomano	Turkmen
los insubordinados	unruly
los úrsidos	ursids
el gofre	waffle
*** 2041 - 2050 (/course/195614/spanish-nouns-5/205/)	
(el)(la) sionista	Zionist
el zuavo	Zouave
la aduladora	"flatterer, bootlicker"
la obispa	bishop
el mediero	sharecropper
la cananea	Canaanite
el morueco	ram
la checoslovaca	Czechoslovak
la deformadora	deforming
la dictadora	dictator
*** 2051 - 2060 (/course/195614/spanish-nouns-5/206/)	
el coala	koala
la neoclásica	neoclassical
la oceanógrafa	oceanographer
la peruana	Peruvian
la recoleta	Recollect
la sexagenaria	sexagenarian
la sudamericana	South American
la tapicera	upholsterer
la teóloga	theologian
el adivinador	diviner
*** 2061 - 2070 (/course/195614/spanish-nouns-5/207/)	
la barbada	bearded
el barcelonés	from Barcelona
el dulcero	confectioner
la endibia	"chicory, endive"
el frambueso	raspberry
el hispanoamericano	Spanish American
el maldecido	damned
el zancudo	mosquito
el recoleto	Recollect
el removimiento	removal
*** 2071 - 2080 (/course/195614/spanish-nouns-5/208/)	
el tísico	consumptive
el wagneriano	Wagnerian
la detenida	"detainee, prisoner"
el nipón	Japanese
el abadiato	abbacy
la abscisión	abscission
la acedía	heartburn
la acerbidad	acerbity
el acoplador	coupler
la advenediza	"upstart, parvenu"
*** 2081 - 2090 (/course/195614/spanish-nouns-5/209/)	
la afrentosa	outrageous
la aguardada	awaited
la albita	albite
el andrógeno	androgen
la anglofilia	Anglophilia
el anglófilo	Anglophil
el antiferromagnetismo	antiferromagnetism
la apoderada	"attorney, agent, proxy"
el apretamiento	tightening
el apropiador	appropriator
*** 2091 - 2100 (/course/195614/spanish-nouns-5/210/)	
la armenia	Armenia
la armuelle	orach
el arrugamiento	wrinkling
el aserrador	sawyer
el asuntito	little matter
(el)(la) atlantista	Atlanticist
la autogamia	autogamy
el autopiloto	autopilot
la azadilla	Azadilla
la balneoterapia	balneotherapy
*** 2101 - 2110 (/course/195614/spanish-nouns-5/211/)	
la báltica	Baltic
el báratro	Barathrum
la barriguilla	Barriguilla
el barrueco	baroque pearl
la batalladora	feisty
el baturrillo	"hodgepodge, gallimaufry, hotchpotch"
el bencilo	benzyl
el blastómero	blastomere
la bofia	"the fuzz, heat"
la boyada	drove of oxen
*** 2121 - 2130 (/course/195614/spanish-nouns-5/212/)	
el caravasar	caravanserai
el cárcamo	sump
la catecolamina	catecholamine
el cateo	"prospect, fail, search"
el cauri	cowrie
la celestina	"go-between, matchmaker, celestine"
la céltica	Celtic
la cerusa	White Lead
la chamusquina	singe
el chantillí	Chantilly
*** 2141 - 2150 (/course/195614/spanish-nouns-5/213/)	
el criptón	krypton
el cuadrángulo	"quad, quadrangle"
el cuaquerismo	Quakerism
la culpada	blamed
la dactilografía	dactylography
(el)(la) darwinista	Darwinian
el deanato	deanery
el derechismo	rightism
la dermatóloga	dermatologist
el derribador	Grounding
*** 2111 - 2120 (/course/195614/spanish-nouns-5/214/)	
el broncodilatador	bronchodilator
la buhonería	peddling
la bullabesa	"bouillabaisse, fish soup"
el buteno	butene
el caballaje	horsepower
el cabrahígo	Cabrahigo
la cachava	Cachava
la calabacita	zucchini
el canesú	yoke
la cangreja	spanker
*** 2131 - 2140 (/course/195614/spanish-nouns-5/215/)	
el churumbel	samophlange
el cinerama	cinerama
el cochinito	pig
el colutorio	mouthwash
el comedorcito	dinette
la compaginada	collated
el compaginador	sorter
la confidenta	confidante
el conoide	conoid
la copta	Coptic
*** 2151 - 2160 (/course/195614/spanish-nouns-5/216/)	
el desalojamiento	"displacement, eviction"
el descamino	embezzlement
la descastada	outcast
el descuaje	uprooting
el desencaje	disengagement
el deshacedor	undoer
la despistada	clueless
la desterrada	banished
la diastasa	diastase
la dimisionaria	resigning
*** 2161 - 2170 (/course/195614/spanish-nouns-5/217/)	
la dipsomanía	dipsomania
el dóberman	dobermans
el donatismo	Donatism
el dórico	Doric
la electroacústica	electroacoustics
el electuario	electuary
el encenagamiento	siltation
el encorvamiento	droop
el engrasador	nipple
el engullidor	guzzling
*** 2171 - 2180 (/course/195614/spanish-nouns-5/218/)	
el ensilaje	silage
el ensordecimiento	devoicing
el erico	Erico
la escanciadora	cupbearer
el espray	spray
la estala	Estala
la estimativa	estimate
la estólida	stolid
la evocadora	evocative
el exnovio	ex-boyfriend
*** 2181 - 2190 (/course/195614/spanish-nouns-5/219/)	
el extravertido	extrovert
(el)(la) fagotista	bassoonist
la falsificadora	"counterfeiter, forger"
el fibrocartílago	fibrocartilage
la filarmonía	philharmonic orchestra
la fitohormona	phytohormone
el fluoroscopio	fluoroscope
el fotomatón	photobooth
(el)(la) fumista	"joker, stove repairman"
la gallinaza	manure
*** 2191 - 2200 (/course/195614/spanish-nouns-5/220/)	
la gandulería	"idleness, dodgery"
el garrafón	demijohn
la griseofulvina	griseofulvin
la herniación	herniation
el hidrargirismo	hydrargirism
el hipogastrio	hypogastrium
la hiponimia	hyponymy
el holoceno	Holocene
el hospitalillo	small hospital
la incomunicabilidad	inability to communicate
*** 2201 - 2210 (/course/195614/spanish-nouns-5/221/)	
la inculpada	accused
el indecoro	"indecorum, indelicacy"
la induración	induration
la inefabilidad	ineffability
la infructuosidad	fruitlessness
la inhospitalidad	inhospitality
(el)(la) intimista	intimate
la irisación	"iridescence, irisation"
el izquierdazo	left hook
la jaulita	little cage
*** 2211 - 2220 (/course/195614/spanish-nouns-5/222/)	
la labradorita	moonstone
la lacaya	Lucaya
la lacha	menhaden
la ladronzuela	thief
el largor	Waistline
el laringoscopio	laryngoscope
la lepisma	silverfish
la litigación	litigation
el llevador	courier
la maletera	"boot, trunk, saddlebag"
*** 2221 - 2230 (/course/195614/spanish-nouns-5/223/)	
la mancheta	masthead
la maneta	handle
(el)(la) maoísta	Maoist
el marañón	"cashew, cashew nut"
la maricona	"queer, fagot, fag"
el matraqueo	rattling
(el)(la) mecanicista	mechanistic
el medianero	"dividing wall, party wall"
el mendelismo	Mendelianism
la mercera	mercer
*** 2231 - 2240 (/course/195614/spanish-nouns-5/224/)	
la mesocracia	mesocracy
el metimiento	downthrow
(el)(la) minimalista	minimalist
la minusvalidez	disability
el mitrado	mitred
la mocosita	Mocosita
el monedaje	seigniorage
el mongolismo	mongolism
el mueblecito	piece of furniture
el muesli	muesli
*** 2241 - 2250 (/course/195614/spanish-nouns-5/225/)	
la multiconferencia	conference
el negligé	negligee
el olorcito	"smell, odour, scent"
la ortofonía	audiologists
la otología	otology
la paleobotánica	paleobotany
el panóptico	panopticon
el papayo	"papaya, pawpaw, papaw"
la paralizadora	Paralytic
la parmesana	parmigiana
*** 2251 - 2260 (/course/195614/spanish-nouns-5/226/)	
la pegajosidad	stickiness
la perdonadora	forgiving
el peristoma	peristome
el perseguimiento	chasing
la pescozada	Pescozada
la pignoración	pledge
el pizzero	pizza maker
la platónica	Platonic
el polarímetro	polarimeter
el polímetro	multimeter
*** 2261 - 2270 (/course/195614/spanish-nouns-5/227/)	
(el)(la) polvorista	Polvorista
la poncha	strikes out
(el)(la) potril	Potril
el preuniversitario	Foundation Degree
la propiciadora	propitiating
la pudinga	pudding stone
el queque	"cake, bun"
la quimosina	chymosin
la ramplonería	vulgarity
el reentrenamiento	retraining
*** 2271 - 2280 (/course/195614/spanish-nouns-5/228/)	
el relajador	relaxant
el rematante	highest bidder
la remediadora	remedial
el ristre	lance-rest
el romboedro	rhombohedron
el rotograbado	rotogravure
la rubicundez	ruddiness
el sabelio	Sabellius
el salicor	saltwort
la santurrona	sanctimonious
*** 2281 - 2290 (/course/195614/spanish-nouns-5/229/)	
la sectaria	sectarian
la sembrada	planted
el semidiámetro	semidiameter
el sequito	"retinue, entourage, train"
la serosidad	serosity
la silogística	syllogistic
el sobregiro	"overdraft, over-rotation"
la subnormalidad	subnormality
el supino	supine
el tantán	tom-tom
*** 2291 - 2300 (/course/195614/spanish-nouns-5/230/)	
(el)(la) taoísta	Taoist
el tarará	tared
la tecnicidad	technicality
(el)(la) telecámara	video unit
el termoscopio	thermoscope
la timadora	grifter
el tiradero	"shooting range, rubbish dump, garbage dump"
la tiritona	shivering
la tonificación	toning
el torón	strand
*** 2301 - 2310 (/course/195614/spanish-nouns-5/231/)	
la tortuguita	turtle
el traslapo	"overlap, lap"
la trinquetilla	staysail
la tuerta	eyed
el ugarítico	Ugaritic
el ungimiento	anointment
la untuosidad	greasiness
la vicaria	vicarious
la vincapervinca	periwinkle
el viscosímetro	viscometer
*** 2311 - 2320 (/course/195614/spanish-nouns-5/232/)	
la vociferación	vociferation
el volterianismo	Voltairianism
el wáter	"toilet, closet, john"
el zapapico	"pickax, pickaxe"
el plumífero	"quilted anorak, hack"
la guarrería	"filthy thing, filth"
el atravesado	troublemaker
la gestante	expectant mother or woman
el portamaletas	"roof rack, boot, trunk"
el enceste	basket
*** 2331 - 2340 (/course/195614/spanish-nouns-5/233/)	
el anélido	annelid
los antiandrógenos	antiandrogens
la aracnoides	arachnoid
el ario	Aryan
el asperges	asperges
la tasadora	"assessor, appraiser"
las azarías	Azariah
los baltos	Balts
el zambombazo	bang
el raquero	beachcomber
*** 2351 - 2360 (/course/195614/spanish-nouns-5/234/)	
los briozoos	bryozoans
el carapacho	carapace
las carnívoras	carnivorous
las carocas	Carocas
los carolinos	Carolinians
las escolopendras	centipedes
los cefalocordados	Cephalochordata
el impugnador	Challenger
(los)(las) chovinistas	chauvinists
el quitón	chiton
*** 2321 - 2330 (/course/195614/spanish-nouns-5/235/)	
la estacha	"line, mooring rope"
la abdominal	"abdominals, crunches, six-pack"
el encubridor	accessory after the fact
(el)(la) adventista	Adventist
la africada	affricate
los alfonsinos	Alfonsists
(el)(la) americanista	Americanist
la analítica	analytics
la anfractuosidad	anfractuosity
los angiomas	angioma
*** 2341 - 2350 (/course/195614/spanish-nouns-5/236/)	
las chumaceras	bearings
la cabilla	belaying pin
la mutua	benefit society
(los)(las) estraperlistas	black marketeers
el echador	"boaster, ejector"
(los)(las) obligacionistas	bondholders
(el)(la) pelotilla	bootlicking
el borato	borate
los braquiópodos	brachiopods
el clavito	brad
*** 2361 - 2370 (/course/195614/spanish-nouns-5/237/)	
el clinch	clinch
el cadillo	cocklebur
el acomplejado	complexed
el corporal	"corporal, altar cloth"
la corticoide	corticoid
la corveta	corvette
los áulicos	courtiers
el rajado	"coward, chicken"
la resquebrajadura	crazing
las criptógamas	cryptogams
*** 2371 - 2380 (/course/195614/spanish-nouns-5/238/)	
el entresacado	culled
las cupresáceas	Cupressaceae
los rizadores	curlers
la parroquiana	"customer, habitue, regular"
(los)(las) dálmatas	Dalmatian
las datileras	date palm tree
las desafinaciones	detuning
el badén	"dip, ditch, ford"
el mantelito	doily
el dominguillo	Dominguillo
*** 2381 - 2390 (/course/195614/spanish-nouns-5/239/)	
el bebedero	"drinking fountain, water fountain, water trough"
los abejones	drones
el druso	"druse, druze"
la dríade	Dryad
el eclesiastés	Ecclesiastes
el malversador	"embezzler, peculator"
(el)(la) empirista	empiricist
el epinicio	epinicion
el ético	ethics
el excavador	"excavator, digger"
*** 2391 - 2400 (/course/195614/spanish-nouns-5/240/)	
la excoriación	"excoriation, chafing"
los expectorantes	expectorants
los cetreros	falconers
el felón	felon
el guardafuego	"fender, fireguard"
el apaleador	Flogger
la folía	Folia
(el)(la) formalista	formalist
el fornicador	fornicator
los fornicarios	fornicators
*** 2401 - 2410 (/course/195614/spanish-nouns-5/241/)	
la echadora	fortune teller
el gabacho	"Frenchy, frog, froggy"
los frisios	friesians
el gallón	gallon
la genovesa	Genoese
(el)(la) gentil	gentile
el jerbo	gerbil
el gargajo	"gob, phlegm, sputum"
el orífice	goldsmith
el universitario	"graduate, academic"
*** 2411 - 2420 (/course/195614/spanish-nouns-5/242/)	
el herbazal	grassland
el ultramarinos	"groceries, grocery store"
los asteros	hastati
los hemípteros	Hemiptera
las esperanzadoras	hopeful
la callosa	horny
los ictiosaurios	ichthyosaurs
el igualadino	Igualada
los inmunosupresores	immunosuppressive
la importadora	importing
*** 2421 - 2430 (/course/195614/spanish-nouns-5/243/)	
la improvisadora	improviser
la tomada	inroad
el iroqués	Iroquois
el jíbaro	Jivaro
la vigueta	joist
el guasón	"joker, teaser, jester"
el remolón	"lagger, skulk, laggard"
la embustera	"liar, cheat, fabricator"
la linfangitis	lymphangitis
el maléolo	malleolus
*** 2431 - 2440 (/course/195614/spanish-nouns-5/244/)	
los mangueros	mangeros
(el)(la) anormal	"mentally hadicapped, retard"
la microcámara	microchamber
la cuarentona	middle-aged man
(el)(la) militarista	militarist
los minadores	miners
la incomprendida	misunderstood
el monstruito	monster
los montevideanos	Montevideo
la colmenilla	morel
*** 2441 - 2450 (/course/195614/spanish-nouns-5/245/)	
la papera	mumps
(el)(la) mutualista	mutual
los noveleros	novelero
(el)(la) oscurantista	obscurantist
el ocupador	occupier
el balconaje	of balconies
los ancianitos	old people
el opistótonos	opisthotonos
(los)(las) oposicionistas	oppositional
los oratorianos	Oratory
*** 2451 - 2460 (/course/195614/spanish-nouns-5/246/)	
los tomacorrientes	outlets
(el)(la) pacifista	pacifist
el palmero	palmer
(el)(la) panteísta	pantheist
los parapléjicos	paraplegic
los pelagianos	Pelagians
el rábula	pettifogger
(los)(las) plutócratas	plutocrats
el pólux	Pollux
los poríferos	Porifera
*** 2461 - 2470 (/course/195614/spanish-nouns-5/247/)	
el vaticinador	predictor
el aguijonazo	prick
(los)(las) antiabortistas	Pro-Life
la alzaprima	prying
la psitacosis	"psittacosis, parrot disease, parrot fever"
el pómez	pumice
las punturas	punctures
los persevantes	pursuivants
los picnogónidos	pycnogonids
los cuatrillizos	quadruplets
*** 2491 - 2500 (/course/195614/spanish-nouns-5/248/)	
los espaldones	shoulders
el siberiano	Siberian
la semifusa	sixty-fourth note
la chancla	"slipper, flip flop, flip-flop"
la agachadiza	snipe
los cocainómanos	snowbird
el agrio	sour juice
los espermatozoos	spermatozoa
el espermicida	spermicide
los estatuarios	statutory
*** 2471 - 2480 (/course/195614/spanish-nouns-5/249/)	
los almadieros	rafters
los rezones	reasons
el reciclador	recycler
el referencial	reference
las revendedoras	resellers
los caballones	ridges
las roelas	Roelas
la fresquera	"safe, meatsafe"
el saboyano	Savoyard
los escamados	Scaled
*** 2481 - 2490 (/course/195614/spanish-nouns-5/250/)	
el omoplato	"scapula, shoulder blade"
los acojonados	scared shitless
el rebuscador	scavenger
(el)(la) escoliasta	scholiast
el cohombro	sea cucumber
el chamarilero	secondhand dealer
(los)(las) laicistas	secularists
la sembradora	"seed drill, seeder, sowing machine"
el siluro	"sheatfish, bullhead"
las tejoletas	sherds
*** 2521 - 2530 (/course/195614/spanish-nouns-5/251/)	
el volteriano	Voltairian
la camareta	wardroom
el palanganero	washstand
el blanquete	whitewash
los vitivinicultores	winemakers
la adivinadora	diviner
las alienadas	"alienated person, mentally ill"
la chechena	Chechen
la desdentada	toothless
la desheredada	disinherited
*** 2501 - 2510 (/course/195614/spanish-nouns-5/252/)	
(el)(la) almacenista	storer
(el)(la) trotacalles	streetwalker
(el)(la) subnormal	"subnormal, nutcase"
(el)(la) sufí	Sufi
las sulfonamidas	sulfonamides
el taiwanés	Taiwan
los degustadores	Taster
el tedéum	Te Deum
los telepredicadores	televangelists
las empulgueras	"thumbscrew, screws"
*** 2561 - 2570 (/course/195614/spanish-nouns-5/253/)	
el apaleo	drub
el arcontado	"archonship, archontate"
la áster	aster
la astrodinámica	astrodynamics
el asturianismo	Asturianism
la audibilidad	audibility
el audiómetro	audiometer
la augita	augite
la autoexploración	self-exploration
la autoexpulsión	Eject
*** 2531 - 2540 (/course/195614/spanish-nouns-5/254/)	
(el)(la) infanticida	infanticide
la isabelina	Elizabethan
la legisladora	"legislator, lawgiver"
la rescatadora	rescuer
la saboteadora	saboteur
la salvadoreña	Salvadoran
el filantropismo	philanthropy
el tostado	"roasting, toasting"
la desplazada	displaced
la abada	abbey
*** 2571 - 2580 (/course/195614/spanish-nouns-5/255/)	
el aventurismo	adventurism
el baladro	Baladros
la bartola	paunch
el becerrillo	Becerrillo
la bibliomanía	bibliomania
el bioensayo	bioassay
la bocota	bunghole
el boje	bogie
el bolonio	Bolonio
la borgoñona	Burgundian
*** 2511 - 2520 (/course/195614/spanish-nouns-5/256/)	
el turiferario	thurifer
los tiznaos	Tiznaos
la tomatera	tomato
los transuránicos	transuranic
las bujerías	trinkets
(el)(la) zarista	tsarist
la alforza	"tuck, hem"
los urodelos	urodelans
los valentinianos	Valentinians
(el)(la) excombatiente	vet
*** 2541 - 2550 (/course/195614/spanish-nouns-5/257/)	
el abocamiento	abouchement
el achicador	"bailer, scoop, baler"
la adaza	Adaza
el aerotransporte	airlift
el afeamiento	disfigurement
la agitadora	agitator
el agujón	stinger
la ajera	Ajera
el alazor	safflower
el algodoncillo	milkweed
*** 2591 - 2600 (/course/195614/spanish-nouns-5/258/)	
la carbonita	carbonite
la cardada	carded
la cardiomegalia	cardiomegaly
la catorcena	Fourteenth
el cebón	porker
la cerería	chandlery
el chape	"tress, braid, pigtail"
la chapeta	Chapeta
el chayote	"squash, vegetable pear"
la chilladora	Screech
*** 2551 - 2560 (/course/195614/spanish-nouns-5/259/)	
la alhacena	Alhacena
el altocúmulo	altocumulus
la ámala	love it
el amín	amin
el anestesiólogo	anesthesiologist
el anfión	Amphion
la anglomanía	Anglomania
la angulema	Angoulême
el antiespasmódico	antispasmodic
el antineutrón	antineutron
*** 2581 - 2590 (/course/195614/spanish-nouns-5/260/)	
la borracha	drunkard
la borradura	"erasure, effacement, obliteration"
el botellero	"bottle rack, bin"
la boza	"down, bum fluff, peach fuzz"
el brontosaurio	brontosaurus
el calambrazo	electric shocks
el caldeamiento	warming
el cancro	canker
el capirotazo	"flip, flick"
el caravanero	caravan
*** 2601 - 2610 (/course/195614/spanish-nouns-5/261/)	
la cianamida	cyanamide
el cingalés	"Singhalese, Cingalese"
el colgadizo	"piece of roofing, flat roof"
el condrosarcoma	chondrosarcoma
el conidio	conidium
la contraescarpa	counterscarp
(el)(la) contrapuntista	contrapuntist
la contumelia	contumely
la copiosidad	copiousness
el corazoncillo	Saint-John's-wort
*** 2611 - 2620 (/course/195614/spanish-nouns-5/262/)	
la correligionaria	coreligionist
el demagógico	demagog
la demandadera	Demandadera
el dentudo	toothy
la denunciación	denunciation
la denunciadora	denunciatory
el depresor	depressor
la desagradecida	ungrateful
el descansadero	Shepards
el desengrase	degreasing
*** 2621 - 2630 (/course/195614/spanish-nouns-5/263/)	
el desmaño	iniquity
el desmoche	topping
el despachito	little office
