*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
ἀσάλευτος	unmovable
ὁ Ἀσάφ	Asaph
ὁ Ἀσήρ	Asher
τὸ ἀσσάριον	assarion (copper coin)
ἡ Ἆσσος	Assos
ἀστεῖος	beautiful
ἀστήρικτος	unstable
ἄστοργος	lacking normal affection
ἀστράπτω	to flash
ἀσχημονέω	to behave improperly
ἡ ἀσχημοςύνη	shameless act
ἀτάκτως	in idleness
ἄτεκνος	childless
ἄτερ	(+gen) without
ἡ ἀτμίς	"vapor, mist, smoke"
αὐθάδης	self-willed
αὐθαίρετος	of one’s own accord
ὁ αὐλητής	flute-player
αὐλίζομαι	"to lodge, spend the night"
ἡ αὔξησις	increase
αὔξω	to increase
αὐστηρός	"hard, severe"
ἡ αὐτάρκεια	self-sufficiency
αὐτόματος	by itself; (n.) by chance
ὁ ἀφεδρών	latrine
*** 2826 - 2850 (/course/66563/koine-greek-3/114/)	
ἡ ἁφή	"joint; infection, wound"
ἀφιλάργυρος	not covetous
ἀφοράω	"to look away, look up to"
ἀφρίζω	to foam
ὁ Ἀχάζ	Ahaz
ἀχάριστος	ungrateful; unthankful
ὁ Ἀχίμ	Achim
ἀχρεῖος	"useless, unprofitable, worthless"
τὸ ἄχυρον	"straw, chaff"
βαρέως	with difficulty
ὁ Βαρσαββᾶς	Barsabbas
βασίλειος	royal; emperor
βδελύσσομαι	"to feel nausea, be sick; be loathsome"
ἡ βεβαίωσις	confirmation
βεβηλόω	"to desecrate, profane"
ἡ Βέροια	Berea
βιάζω	"to force, use violence"
ἡ Βιθυνία	Bithynia
βλάπτω	to harm
ὁ Βόες	Boaz
ἡ βοήθεια	help
βολίζω	take a depth sounding
ὁ βορρᾶς	north
ὁ βουλευτής	counselor
ὁ βουνός	"hill, high place"
*** 2851 - 2875 (/course/66563/koine-greek-3/115/)	
τὸ βραβεῖον	prize
βραδύνω	"to delay, go slowly, be negligent"
ἡ βροχή	rain
βυθίζω	to sink
ὁ Γαβριήλ	Gabriel
Γαλατικός	Galatian
ὁ Γαμαλιήλ	Gamaliel
τὸ Γεθσημανί	Gethsemane
γελάω	to laugh
ἡ γενεαλογία	genealogy
τὸ γενέσια	birthday
γεννητός	born
γηράσκω	"to be old, grow old"
τὸ γλωσσόκομον	"box, money bag; coffin"
δειγματίζω	"to disgrace, make a show"
δεινῶς	terribly
δεκαοκτώ	eighteen
δεκατόω	"to collect tithes, pay tithes"
δερμάτινος	"made of skin, hide"
ὁ δεσμώτης	prisoner
διαβεβαιόομαι	to speak confidently
διαγινώσκω	"to discern, investigate"
διαγογγύζω	"to murmur, grumble"
διάγω	to pass through; to lead; to spend one’s life
διαιρέω	"to divide, separate"
*** 2876 - 2900 (/course/66563/koine-greek-3/116/)	
διαλαλέω	to discuss
διαπονέομαι	to grieve
διαπρίω	to be furious
διασαφέω	"to explain, show clearly"
διασπάω	to tear apart
ἡ διαταγή	"decree, ordinance"
διατηρέω	"to keep, maintain"
διαχειρίζω	to slay
διδακτικός	able to teach
τὸ δίδραχμον	two-drachma coin
ἡ διετία	two years
διϊσχυρίζομαι	to rely on
ἡ δικαίωσις	justification
ὁ δικαστής	judge
διοδεύω	to travel through
διόπερ	"therefore, therefore indeed"
διστάζω	to doubt
ἡ διχοςτασία	"division, dissension"
διχοτομέω	to cut in two
δίψυχος	double-minded
τὸ δοκίμιον	"test, act of testing"
ἡ Δορκάς	Dorcas
ἡ δόσις	"giving, gift"
δοῦλος	"slave; slavish, servile"
ἡ δοχή	"banquet, reception"
*** 2901 - 2925 (/course/66563/koine-greek-3/117/)	
δυναμόω	to strengthen
δύνω	to set
δυσβάστακτος	hard to carry
τὸ δώρημα	gift
ἐγκαινίζω	"to renew, restore, consecrate, dedicate"
τὸ ἔγκλημα	"accusation, charge, complaint"
ἐγκρατεύομαι	"to show self control, restrain oneself"
ἐγκρύπτω	"to hide, hide in, conceal"
ὁ Ἑζεκίας	Hezekiah
εἰλικρινής	sincere
εἵνεκεν	"on account of, because of, for the sake of"
εἰρηνικός	"peaceable, peaceful"
ἡ ἔκβασις	"end, result, way of escape"
ἐκδιηγέομαι	"to tell in detail, declare"
ἔκδικος	"avenging, avenger; given over"
ἐκεῖσε	there
ἐκκαθαίρω	"to clean out, clear out"
ἐκκεντέω	"to goad, spur out, pierce, stab"
ἐκκλείω	to exclude
ἐκμυκτηρίζω	"to deride, mock"
ἑκουσίως	"willingly, voluntarily"
ἔκπαλαι	for a long time
ἐκπέμπω	to send out
ἐκτελέω	to finish
ἐκτρέφω	"to nourish, raise"
*** 2926 - 2950 (/course/66563/koine-greek-3/118/)	
ἔκφοβος	terrified
ἐκφύω	to put out
ἑκών	willing
ἐλαφρός	"slight, insignificant"
ὁ Ἐλεάζαρ	Eleazar
ἐλεεινός	"pitied, pitiable, miserable"
ἐλεήμων	"pitiful, merciful"
ὁ Ἐλιούδ	Eliud
ἑλίσσω	to roll up
ἡ Ἑλληνίς	Greek (f)
Ἑλληνιστί	in the Greek language
ἐλλογέω	"to reckon, impute"
ἐλωΐ	Eloi (Aram.  my God)
ἐμβάπτω	to dip
ὁ ἐμπαίκτης	mocker
ἐμπλέκω	to entangle; be involved in
ἐμπορεύομαι	"to do business, engage in trade"
ἐμφανής	visible
ἐναγκαλίζομαι	to take in one’s arms
ἔναντι	(+gen) before
ἐνάρχομαι	to begin
ἐνδιδύσκω	to wear
ἔνδικος	just
ἐνδοξάζομαι	to glorify
ἡ ἐνέδρα	"ambush, plot"
*** 2951 - 2975 (/course/66563/koine-greek-3/119/)	
ἐνεδρεύω	to lie in wait for
τὸ ἐνέργημα	operation
ἐνευλογέω	"to bless, praise"
ἔνθεν	"from there, thereupon, from that point"
ἐνθυμέομαι	"to think, ponder"
ἐνισχύω	to strengthen
ἡ ἔννοια	"intent, conception"
ἔννομος	lawful
ἡ ἑνότης	"unity, oneness"
ἐνοχλέω	"to trouble, cause trouble"
ἐνταφιάζω	to prepare for burial
ὁ ἐνταφιασμός	preparation for burial
ἡ ἔντευξις	"prayer, petition"
ἐντός	"(+gen) within, inside"
ἡ ἐντροπή	shame
ἐνυπνιάζομαι	to dream
ἐξαγγέλλω	"to make known, proclaim"
ἑξακόσιοι	six hundred
ἐξανατέλλω	"to cause to spring up, spring up"
ἐξαπορέω	"to be in despair, trouble"
ἐξαρτίζω	"to be completed, equip"
ἐξεγείρω	"to raise up, wake up, arise, revive"
ἐξορύσσω	"to dig out, break up"
ἔξωθεν	"(+gen) from outside, outside"
ἐξωθέω	"to eject, drive out, expel"
*** 2976 - 3000 (/course/66563/koine-greek-3/120/)	
ἔοικα	to be like
τὸ ἐπάγγελμα	promise
ἐπαιτέω	to beg
ἐπαναπαύομαι	"to rest on, rely on"
ἐπανέρχομαι	to return
ἐπανίστημι	to rise; to turn against
ἐπάνω	"(+gen) over, above, upon, on"
ἡ ἐπαρχεία	province
ὁ Ἐπαφρόδιτος	Epaphroditus
ἐπεγείρω	"to awaken, stir up, raise"
ἐπενδύομαι	"to put on, be fully clothed"
ἐπηρεάζω	to mistreat
ἐπιδέχομαι	"to receive, welcome, take on"
ἐπιδημέω	to visit
ἡ ἐπιείκεια	"kindness, forbearance"
ἐπικατάρατος	cursed
ἐπιλέγω	"to call, name, choose"
ἐπιλύω	to explain
ἐπιούσιος	the next day
ἡ ἐπιπόθησις	longing
ἐπιρίπτω	"to throw at, throw on, add to"
ἐπίσημος	"notable; well-known; symbol ""6"" (neuter)"
ἐπισκοπέω	"to see to it, oversee, take care"
ἡ ἐπίστασις	"pressure, burden, stirring up"
ἡ ἐπισυναγωγή	"assembly, gathering"
*** 3001 - 3025 (/course/66563/koine-greek-3/121/)	
ἐπιφέρω	"to bring, give, carry"
ἐπιφώσκω	to dawn
ἡ ἐπιχορηγία	"supply, support"
ἐπιχρίω	to anoint
ἐποπτεύω	"to see, observe, oversee; visit, punish"
ἐρεθίζω	to provoke
τὸ ἔριον	wool
ὁ ἔριφος	"young goat, kid"
ἡ ἑρμηνεία	"interpretation, explanation, translation"
ὁ Ἑρμῆς	Hermes
ἐρυθρός	red
τὸ ἔσοπτρον	mirror
ἔσχατος	last
ἐσώτερος	(+gen) inside (prep.); inner (adv.)
ἑτεροδιδασκαλέω	to teach different doctrine
ἡ Εὕα	Eve
ἡ εὐεργεσία	"service, act of kindness"
εὐθυδρομέω	to run a straight course (Philo)
εὐθύνω	"to make straight, correct"
ἡ εὐκαιρία	opportune moment
εὔκαιρος	"suitable, timely"
εὐκαίρως	"when convenient, opportunely"
ἡ εὐλάβεια	"reverence, caution"
εὐνουχίζω	to make a eunuch
εὐσεβέω	"to act piously, to worship"
*** 3026 - 3050 (/course/66563/koine-greek-3/122/)	
εὐσεβῶς	in a godly way
εὔσπλαγχνος	"tenderhearted, compassionate"
εὐτόνως	"vigorously, vehemently"
ὁ Εὐφράτης	Euphrates
ἡ εὐφροςύνη	"joy, merriment"
ἡ ἐφημερία	division
ἐφικνέομαι	to reach
ἐφοράω	"to watch over, observe"
τὸ ζεῦγος	yoke of beasts
ὁ Ζεύς	Zeus
ζέω	to boil
τὸ ζῆλος	zeal; jealousy
ζωγρέω	to catch alive
ἡγεμονεύω	to govern
τὸ ἡδύοςμον	mint
ἠλί	eli (Aram. my God)
ὁ ἧλος	nail
ἡνίκα	when
ἡσύχιος	quiet
ἡττάομαι	"to be overcome, defeated"
τὸ ἥττημα	defeat
ὁ Θαδδαῖος	Thaddaeus
θάλπω	"to warm, take care of"
τὸ θαῦμα	"wonder, miracle"
ὁ Θεόφιλος	Theophilus
*** 3051 - 3075 (/course/66563/koine-greek-3/123/)	
ὁ θεριστής	reaper
θριαμβεύω	to triumph over
τὸ θυγάτριον	little daughter
ἡ θυρίς	window
ὁ θυρωρός	"doorkeeper, porter"
ἡ θυρωρός	"doorkeeper, porter"
ὁ Ἰάϊρος	Jairus
ἡ ἱερατεία	"priestly office, priesthood"
τὸ ἱεράτευμα	priesthood
ὁ Ἱεροςολυμίτης	Jerusalemite
ὁ Ἰεχονίας	Jehoiachin (Jeconiah)
ἱκανόω	"to make able, fit"
ἱλάσκομαι	"to be merciful, pardon, be propitious"
ὁ ἱλασμός	"propitiation, means of forgiveness"
τὸ ἱλαστήριον	"propitiation, place of forgiveness"
ἵλεως	"merciful, propitious"
ἱματίζω	to clothe
ὁ Ἰουδαϊσμός	Judaism
ὁ Ἰούλιος	Julius; July
ὁ ἱππεύς	"cavalryman, horseman"
ἡ ἶρις	rainbow; iris plant
τὸ ἰχθύδιον	little fish
ὁ Ἰωαθάμ	Jotham
ἡ Ἰωάννα	Joanna
ὁ Ἰωράμ	Joram
*** 3076 - 3100 (/course/66563/koine-greek-3/124/)	
ὁ Ἰωσαφάτ	Jehosaphat
ὁ Ἰωσίας	Josiah
ὁ καθηγητής	"teacher, leader"
καθήκω	"to belong to; to be lawful, proper; to let down, lower"
ὁ Καϊνάμ	Cainan
ἡ καινότης	newness
καίτοι	"yet, and yet, although"
κακουχέω	to mistreat
ὁ κάμηλος	camel
καμμύω	to close
κάμνω	to be sick; be weary
ὁ Καναναῖος	Cananaean (Zealot)
ἡ Καππαδοκία	Caphtor; Cappadocia
ὁ καρδιογνώστης	heart-knower
καταβάλλω	to throw down
καταδουλόω	to enslave
καταδυναστεύω	to oppress
κατακλάω	to break
κατακλείω	to shut up
κατακολουθέω	to follow after
ἡ κατάκρισις	condemnation
ἡ καταλαλιά	"slander, defamation"
καταπονέω	to oppress
καταποντίζω	"to throw into the sea, sink"
κατασκάπτω	"to ruin, destroy, burn to the ground"
*** 3101 - 3125 (/course/66563/koine-greek-3/125/)	
ἡ κατασκήνωσις	"building, nest"
καταστέλλω	"to settle, appease"
καταστρέφω	to overthrow; be subdued; ended
ἡ καταστροφή	"ruin, destruction"
ἡ κατάσχεσις	possession holding back
κατατίθημι	"to lay, place"
καταφεύγω	to flee
καταχέω	to pour
καταχράομαι	"to use, make full use"
κατεξουσιάζω	to rule over
τὸ κατοικητήριον	"house, dwelling place"
τὸ καῦμα	heat
καυσόω	to burn up
ἡ Κεγχρεαί	Cenchrea
ἡ κενοφωνία	foolish talk
ἡ κεραία	small stroke (of a letter)
τὸ κεράμιον	"jar, earthen vessel"
τὸ κεφάλαιον	"main thing, main point; chapter"
κιθαρίζω	to play the harp or lyre
ὁ κιθαρῳδός	harpist
ἡ κλάσις	breaking
ὁ κλίβανος	"oven, furnace"
τὸ κλινίδιον	"cot, stretcher"
ἡ κλοπή	theft
ὁ κλύδων	"wave, raging water"
*** 3126 - 3150 (/course/66563/koine-greek-3/126/)	
ὁ κοδράντης	quadrans (copper coin)
κολάζω	to punish
ἡ κόλασις	punishment
κομάω	to wear long hair
κονιάω	"to whitewash, plaster"
κορέννυμι	"to fill, have enough"
κοςμικός	worldly
κόσμιος	"respectable, modest"
τὸ κρέας	meat
ὁ Κρής	Cretan; Kerethite
κρίθινος	made of barley
τὸ κρίνον	lily
ὁ Κρίσπος	Crispus
ὁ κρύσταλλος	"crystal, ice"
κρυφαῖος	"secret, hidden"
ὁ κυβερνήτης	"leader, navigator"
κυκλόθεν	"from all around; (+gen) about, all around"
κύπτω	"to stoop, bow down"
ἡ κυρία	"lady, master (f); dominion, power (LXX)"
κυριακός	"Lord’s; Lord’s Day (Sunday); ""church"" (f)"
κυρόω	"to ratify, confirm, put into effect"
λατομέω	"to cut, hew"
λεμά	lema (Aram. why?)
τὸ λέντιον	"towel, cloth, apron"
λευκαίνω	to whiten
*** 3151 - 3175 (/course/66563/koine-greek-3/127/)	
ὁ λίβανος	frankincense
ὁ λιβανωτός	frankincense; censer
λικμάω	"to winnow, crush, scatter"
ὁ λιμήν	"harbor; haven, refuge"
τὸ λίνον	linen
ἡ λίτρα	pound (Roman weight)
ἡ λογεία	contribution
λογικός	rational
ὁ λογισμός	"thought, deliberation, reasoning; reason"
ὁ λοίδορος	"abusive, slanderer"
ὁ λοιμός	"pestilence, pestilent"
ὁ Λούκιος	Lucius
τὸ λουτρόν	"washing, washing place; baptism"
ἡ Λυδία	Lydia
ὁ Λυσίας	Lysias
τὸ λύτρον	ransom
ὁ Μαθθάτ	Matthat
ὁ Μαθθίας	Matthias
μακαρίζω	"to bless, call happy"
μακρός	"long, far"
μακρός	"long, far"
μάτην	"futile, purposeless, vainly"
ὁ Ματθάν	Matthan
ὁ Ματταθίας	Mattithiah; Mattathias
ἡ μεθοδεία	craftiness
*** 3176 - 3200 (/course/66563/koine-greek-3/128/)	
ὁ μέθυσος	drunken; drunkard
μελετάω	"to care for, study, practice, think about"
ὁ Μελχί	Melchi
μέμφομαι	"to find fault with, to blame"
ὁ μερισμός	"division, distribution"
ἡ μεσημβρία	"noon, south"
ἡ Μεσοποταμία	Mesopotamia
ὁ Μεσσίας	Messiah
μετάγω	"to guide, direct"
μεταίρω	"to depart, remove, carry off"
μεταλλάσσω	to change; quit (life)
μεταξύ	(+gen) between; meanwhile (adv.)
μεταστρέφω	to turn
μετοικίζω	"to move, send off, deport"
μηδαμῶς	by no means
μήποτε	"lest, perhaps"
μήπω	not yet
ἡ μήτρα	womb; matrix
ὁ μίσθιος	hired laborer
μισθόω	to hire
ὁ Μιχαήλ	Michael
ἡ μονή	"room, place to live"
μονόφθαλμος	one-eyed
ἡ μόρφωσις	outward form
μυρίος	"innumerable, countless; (adv.) incessantly"
*** 3201 - 3225 (/course/66563/koine-greek-3/129/)	
ἡ Μυσία	Mysia
μωμάομαι	to blame
ἡ νάρδος	oil of nard
ναυαγέω	to be shipwrecked
ἡ νέκρωσις	death
νεύω	to motion
νήθω	to spin
νῆστις	fasting
ὁ Νικολαΐτης	Nicolaitan
ἡ νομή	pasture
νομίμως	lawfully
νομοθετέω	to give the law; to legislate
νυστάζω	"to become sleepy, drowsy"
νωθρός	"lazy, sluggish"
ἡ ξενία	hospitable; friendly gift; guest room
ξύλινος	wooden; wood-carrier
ὀγδοήκοντα	eighty
ἡ ὁδοιπορία	"traveling, journey"
ἡ ὀδύνη	"pain, sorrow"
ὁ ὀδυρμός	"mourning, lamentation"
ὁ Ὀζίας	"Uzziah; Ozias, Uzza"
ἡ ὀθόνη	large cloth; sail; fine linen
τὸ οἰκητήριον	dwelling; home
ὁ οἰκιακός	member of a household
οἰκτίρω	"to have pity, compassion"
*** 3226 - 3250 (/course/66563/koine-greek-3/130/)	
ὁ οἰνοπότης	"wine-drinker, drunkard"
ὁλόκληρος	"sound, whole"
τὸ ὄμμα	eye
ὁμοιοπαθής	similar; of the same nature
ἡ ὁμοιότης	"likeness, resemblance"
ὁ Ὀνήσιμος	Onesimus
ὁ Ὀνησίφορος	Onesiphorus
ὀνικός	to a donkey
ἡ ὀπή	"cave, hole, opening"
ὄπισθεν	(+gen) behind (prep.); from behind (adv.)
ἡ ὀργυιά	fathom
ὀρεινός	"mountainous, hilly"
ὀρθός	"straight, upright, erect; orthodox"
ὁρκίζω	to implore; make someone swear
ἡ ὁρμή	zeal; rushing; assault
ἡ ὄρνις	bird; rooster (m); hen (f)
ὀρφανός	orphaned
ἡ ὁσιότης	"piety, holiness"
ὀστράκινος	made of baked clay
οὐρανόθεν	from heaven
ἡ οὐσία	"property; being, essence"
τὸ ὀφείλημα	debt
ἡ ὀφθαλμοδουλία	service to impress
ὀψέ	(+gen) after (prep.); evening (adv.)
ὁ πάγος	"mountain peak, rocky hill, Areopagus (with AREIOS); frost"
*** 3251 - 3275 (/course/66563/koine-greek-3/131/)	
ὁ παιδευτής	"instructor, corrector"
ἡ παῖς	child; slave
ἡ παλιγγενεσία	regeneration
παντελής	"complete, completely"
παραβιάζομαι	to defy; to press; to persuade
παραινέω	"to advise, exhort"
παράκειμαι	to be present
παραλέγομαι	to lie beside; to sail along
παραλογίζομαι	to deceive
ὁ παραπικρασμός	provocation
παρεισέρχομαι	to enter
παρεκτός	"(+gen) except, apart from"
παρίημι	"to let go, neglect, droop"
παροικέω	to live in as a stranger
ἡ παροικία	"journeying; lodging; diocese, district"
ὁ πάροινος	drunkard
παροξύνω	to provoke; be upset
ὁ παροξυσμός	sharp disagreement; encouragement
παροργίζω	to make angry
ἡ Πάφος	Paphos
παχύνω	"to grow thick, dull"
πεζῇ	on foot
ἡ πεῖρα	attempt; test
τὸ πέλαγος	depths; open sea
πεντακόσιοι	five hundred
*** 3276 - 3300 (/course/66563/koine-greek-3/132/)	
ἡ Πέργαμος	Pergamus
περιαστράπτω	to flash around
τὸ περιβόλαιον	"cloak, covering"
περίεργος	meddling; magical; curious
περιέχω	"to surround, seize, contain, say"
ἡ περικεφαλαία	helmet
περιλάμπω	to shine around
περιλείπομαι	"to remain, survive"
πέρυσι	year ago
τὸ πηδάλιον	rudder
πηλίκος	how great? how large?
πικρός	bitter
πικρῶς	bitterly
πιστικός	"pure, genuine"
πλάσσω	"to form, mould; make up, fabricate"
ὁ πλήκτης	"violent person, bully"
πνευματικῶς	spiritually
ἡ πνοή	wind
πόθεν	from where?
τὸ ποίημα	created thing; deed
ὁ πολιτάρχης	"city ruler, official"
ἡ πολιτεία	"citizenship; civic life, republic; life"
πολιτεύομαι	"to live, live as a citizen"
τὸ πόμα	drink
ὁ Πόντος	Pontus (Sea)
*** 3301 - 3325 (/course/66563/koine-greek-3/133/)	
ὁ Πόπλιος	Publius
ἡ πορεία	journey
ὁ πορισμός	"gain, profit"
πόρρωθεν	"from afar, at a distance"
ὁ πράκτωρ	"officer, ruler"
ἡ πρασιά	garden-bed; group
ἡ πρεσβεία	embassy; ambassador; messenger; presbyterate
πρεσβεύω	"to be an ambassador; to serve, negotiate"
προαμαρτάνω	to sin previously
προβάλλω	to put forth
ἡ πρόγνωσις	foreknowledge/forechoice
ὁ πρόγονος	parent
προενάρχομαι	to begin
προεπαγγέλλω	to promise long before
προετοιμάζω	to prepare ahead of time
προκαταγγέλλω	to announce beforehand
ἡ πρόνοια	"foreknowledge, forethought; providence, care"
προπετής	reckless
προπορεύομαι	to go beforehand
ὁ προςαίτης	beggar
προςαναπληρόω	"to supply, fill up"
προςανατίθημι	to go for advice
ἡ προςδοκία	expectation
προςκολλάω	"to cause to stick; to stick, cleave to; to be united"
προςκυλίω	to roll against
*** 3326 - 3350 (/course/66563/koine-greek-3/134/)	
προςλαλέω	to speak to
προςοχθίζω	to be angry
προςρήσσω	to burst upon
προτρέχω	to run ahead
προϋπάρχω	to exist previously
προφέρω	to bring out
προφητικός	prophetic
ἡ προφῆτις	prophet (f)
ἡ πρωΐα	"early morning, in the morning"
πρωϊνός	morning
ἡ πρῷρα	bow (of a boat)
τὸ πτερύγιον	wing; edge; highest point; projection
πτοέω	to terrify
τὸ πτύον	winnowing fork
ἡ πτῶσις	fall; disaster; carcass
πυκνός	"frequent, quick, rapid, shrewd"
ἡ πυρά	funeral pyre; burnt sacrifice altar
πυρέσσω	to have a fever
πυρράζω	to be red
πυρρός	red
ἡ Ῥαάβ	Rahab
ῥαββουνί	Rabbi (Aram. my teacher)
ῥαβδίζω	to beat with a stick
ὁ ῥαβδοῦχος	policeman; jailer
τὸ ῥάκος	piece of cloth; rag
*** 3351 - 3375 (/course/66563/koine-greek-3/135/)	
ὁ ῥαντισμός	sprinkling
ῥαπίζω	to strike
ἡ ῥαφίς	needle
ῥιζόω	to take root
ὁ Ῥοβοάμ	Rehoboam
ὁ Ῥοῦφος	Rufus
ῥυπαρός	"shabby, impure, dirty"
σαβαχθάνι	(Aram.) you have abandoned me
Σαβαώθ	"Sabaoth (Heb.) of hosts, armies"
ὁ Σαδώκ	Zadok
ὁ Σαλά	Shelah
ἡ Σαλήμ	Salem
ὁ Σαλμών	Salu
ἡ Σαλώμη	Salome
ἡ Σαμαρῖτις	Samaritan (f)
τὸ σανδάλιον	sandal
τὸ σάρδιον	"sardius, carnelian"
τὸ σάτον	saton (dry measure)
τὸ σέβασμα	object or place of worship
σεληνιάζομαι	to be moonstruck; to be an epileptic
ἡ σιαγών	"cheek, jaw"
ἡ σιγή	silence
Σιδώνιος	Sidonian; Sidonius
τὸ σκῆνος	tent
σκυθρωπός	gloomy
*** 3376 - 3400 (/course/66563/koine-greek-3/136/)	
ἡ Σμύρνα	Smyrna
ἡ σμύρνα	myrrh
σοφίζω	to give wisdom; make wise
ἡ Σπανία	Spain
σπαργανόω	to wrap in baby cloths
σπαταλάω	to live in luxury
σπάω	"to draw out; draw in; suck, sniff"
σπένδω	to pour out as a drink-offering
ὁ σπίλος	stain
σπιλόω	to stain
ἡ στεῖρα	"barren, infertile woman"
στέλλω	to journey; to avoid
ὁ στεναγμός	groaning
ἡ στρατεία	warfare; fight; expedition; army host
ἡ στρατιά	army
στρηνιάω	to live in sensuality
στυγνάζω	"to be sad, shocked, appalled"
συγκάθημαι	to sit with; dwell with
συγκαθίζω	to sit together
συγκακοπαθέω	to share in suffering
συγκεράννυμι	"to mix together, unite"
συζεύγνυμι	to join together
συζωοποιέω	to make alive together with
συκοφαντέω	to accuse falsely; to slander
συμβασιλεύω	to reign with
*** 3401 - 3425 (/course/66563/koine-greek-3/137/)	
συμμέτοχος	"sharer, co-partaker"
σύμμορφος	to share the likeness
συμπαθέω	to have sympathy for
συμπάσχω	to suffer together
συμπέμπω	to send with
τὸ συμπόσιον	"drinking party, banquet, group"
σύμφορος	advantageous
συναθλέω	to work together with
συναθροίζω	to gather
συναναβαίνω	"to go up together, to travel with"
συναντιλαμβάνομαι	"to assist, help"
συναρμολογέω	to be joined together
σύνειμι	to be present (sum)
συνεισέρχομαι	to go in with
ὁ συνέκδημος	traveling partner
συνευωχέομαι	to eat together
συνθάπτω	to bury with
συνθλάω	"to break, shatter"
συνθλίβω	"to collide, to crowd"
σύνοιδα	"to know; to share knowledge, be aware of; conscience (subst)"
συνοράω	"to see, consider"
ἡ συνοχή	distress
συντόμως	briefly
συσπαράσσω	to throw into convulsions
συστέλλω	"to humilate, subdue; to wrap up"
*** 3426 - 3450 (/course/66563/koine-greek-3/138/)	
ὁ συστρατιώτης	fellow-soldier
συστρέφω	"to gather, tie up"
ἡ συστροφή	"uproar, band, conspiracy"
συσχηματίζω	to conform to
ἡ Συχέμ	Shechem
τὸ σχῆμα	"form, outward form"
τὸ σχοινίον	rope
σχολάζω	to have leisure; to devote oneself to
σωματικός	bodily
σωρεύω	to heap
ὁ Σωσθένης	Sosthenes
ἡ Ταβιθά	Tabitha
ἡ ταλαιπωρία	misery; hardship
ταλαίπωρος	wretched; miserable
ὁ τάραχος	"agitation, confusion"
ὁ Ταρσεύς	Tarsean
τάχα	"perhaps; quickly, presently"
ταχινός	soon
ὁ τέκτων	carpenter; craftsman
ἡ τελειότης	completeness
ἡ τελείωσις	"completion, fulfillment"
ὁ Τέρτυλλος	Tertullus
τεσσαρεσκαιδέκατος	fourteenth
τεσσερακονταετής	forty years old
τιμωρέω	"to punish, torment"
*** 3451 - 3475 (/course/66563/koine-greek-3/139/)	
ὁ τίτλος	"inscription, notice"
τοιγαροῦν	"therefore, then"
ὁ τόκος	"childbirth, offspring; produce, interest"
τραυματίζω	to wound
τραχύς	"rugged, rough, harsh, savage"
τριακόσιοι	three hundred
ὁ τρίβολος	"briar, thistle"
τὸ τρύβλιον	"bowl, cup"
ἡ τρυφή	"dainty; delight; luxury, self-indulgence"
ὁ ὑβριστής	insolent person
ὁ Ὑμέναιος	Hymenaeus
ὁ ὕμνος	hymn; praise song
ἡ ὕπαρξις	"possession, property"
ὑπεναντίος	against; meeting; opposed
ὑπερλίαν	"outstanding, special"
ὑπέρογκος	boastful; difficult
ἡ ὑπεροχή	"height; authoritativeness, dignity"
ὑπερπερισσεύω	to increase more
τὸ ὑποζύγιον	donkey
ὑποπλέω	to sail under shelter of
ὑποτίθημι	to put under; to risk; to point out
ἡ ὑποτύπωσις	pattern
ὑποχωρέω	to withdraw
ὑπωπιάζω	"to wear out, treat severely"
ἡ ὕσσωπος	hyssop
*** 3476 - 3500 (/course/66563/koine-greek-3/140/)	
ἡ ὑστέρησις	"need, want"
τὸ ὕψωμα	height; exaltation
ὁ φάγος	glutton
ἡ φανέρωσις	"disclosure, manifestation"
τὸ φάντασμα	ghost
ἡ φαρμακεία	"sorcery, magic"
ὁ φάρμακος	"poisoner; magician, sorcerer"
τὸ φέγγος	"light, splendor"
φειδομένως	sparingly
ἡ φήμη	report
ὁ φθόγγος	sound
ἡ Φιλαδέλφεια	Philadelphia
ἡ φιλανθρωπία	"kindness, love of mankind"
φιλάργυρος	"money-loving, avaricious"
ἡ φιλοξενία	hospitality
φλογίζω	to set on fire
ὁ φοῖνιξ	"palm tree, palm branch; date-palm, date"
φορτίζω	to burden
φραγελλόω	beat with a whip
ἡ φρήν	mind; understanding
ἡ φρόνησις	wisdom
ὁ φωλεός	"hole, den"
ὁ φωστήρ	"light, star"
ὁ φωτισμός	light
χαλεπός	"fierce, harsh, difficult"
*** 3501 - 3525 (/course/66563/koine-greek-3/141/)	
χαλιναγωγέω	to bridle
ὁ χαλινός	"bit, bridle"
τὸ χαλκολίβανον	fine bronze
χαμαί	to the ground; on the ground
ἡ Χανάαν	Canaan
χαριτόω	"to be gracious, be favored, bestow on freely"
ἡ Χαρράν	Haran
χειραγωγέω	to lead by the hand
χειροτονέω	"to appoint, choose"
ἡ χιών	snow
ἡ χλαμύς	cloak
ἡ χοῖνιξ	measure (quart-sized)
ἡ χολή	gall; gall bladder
ἡ Χοραζίν	Chorazin
χορηγέω	to supply
ὁ χοῦς	"soil, dust"
ὁ χρεοφειλέτης	debtor
ἡ χρῆσις	"use, profit"
χρυσόω	to cover with gold
ὁ ψευδάδελφος	false brother
ἡ ψευδομαρτυρία	false testimony
ὁ ψευδόμαρτυς	false witness
ὁ ψευδόχριστος	false Christ
ψηφίζω	"to figure out, count"
τὸ ψιχίον	small crumb
