и	and
вдова	widow
последовательный	consistent; successive
психологический	psychological
цилиндр	cylinder; top hat
француз	Frenchman
лейтенант	lieutenant
калитка	"gate, garden gate"
отверстие	"opening, aperture"
рота	company (of soldiers)
пленум	plenary session
комплексный	"complex, consisting of several parts"
машинист	engine-driver
ведомство	department (of government)
агрегат	"unit, assembly"
мамаша	mother (coll)
лунный	lunar
приказание	"order, command"
благосостояние	"well-being, prosperity"
комплекс	complex (noun)
областной	"oblast (adj), provincial"
офицерский	officer’s
новогодний	New Year (adj)
пианино	(upright) piano
воробей	sparrow
благополучно	"safely, well"
плакат	poster
пробка	cork; plug; fuse; traffic jam
производиться/произвестись	to be produced
качественный	qualitative; good quality
космический	(outer) space (adj)
конструктор	"constructor, designer"
пучок	bundle; bun (hairdo)
себестоимость	"cost, cost price"
разложение	"decomposition, disintegration"
револьвер	revolver
композитор	composer
ток	electric current
ферма	farm
шахта	"mine, pit"
наружный	"outer, external"
братство	brotherhood
оболочка	"cover, envelope"
деление	division
ликвидация	"liquidation, elimination"
изготовлять/изготовить (+a)	to manufacture
плавание	swimming; sailing
сени	entrance hall (of peasant hut)
сенатор	senator
первичный	primary
шашка	"sabre; (pl) draughts, checkers (board game)"
погон	shoulder-strap
посев	sowing (noun)
снабжение	"supply, supplying"
идиот	idiot
господствующий	"ruling, predominant"
командующий (+inst)	(as noun) commander (of)
польский	Polish (adj)
груша	pear
жила	vein
стадо	herd
барыня	lady
смесь	mixture
водяной	"water (adj), aquatic, water-powered"
интеллигент	member of intelligentsia; professional; intellectual
кладбище	cemetery
нагибаться/нагнуться	to bend down
грузить/по- (+a)	to load
погружать/погрузить	to immerse
уличный	street (adj)
впредь	"henceforth, in future"
свёрток	"package, bundle"
содержаться	to be maintained; be contained
равновесие	"balance, equilibrium"
хата	peasant house
экипаж	carriage; crew
овраг	"ravine, gully"
фуражка	peaked cap
козёл	goat
якорь	anchor
комбайн	combine harvester
бухта	bay [not залив]
сани	sledge (pl)
император	emperor
полярный	polar
рояль	(grand) piano
сплочение	"uniting, strengthening (noun)"
земледелие	agriculture
должный	"due, proper"
песчаный	sandy
пехота	infantry
залив	bay [not бухта]
путёвка	voucher for travel and accommodation
выпускник	final-year student; graduate; school-leaver
механизация	mechanization
механизатор	mechanization expert; machine servicer
госпиталь	(military) hospital
конгресс	congress
рубка	felling; chopping; deck cabin
огурец	cucumber
посол	ambassador
паренёк	lad (coll)
ветеран	veteran
воинский	military (adj)
порошок	powder
удобрение	fertilizer; fertilizing
аппаратура	apparatus
батька	"dad, father (coll)"
декрет	decree
плотина	dam
проговорить	to say
ранг	rank [not чин]
безумие	madness
бессмертие	immortality
турнир	tournament
центнер	"100 kilogrammes, centner"
питательный	nourishing (adj)
идеология	ideology
ядро	nucleus; ball
корма	stern (of ship)
окраска	colouring (noun)
архитектура	architecture
зрительный	visual
шторм	gale
химик	chemist
корешок	"back (of bookbinding); small root; counterfoil; (coll) pal, mate"
мина	"mine, shell (mil)"
рюмка	wineglass
крючок	hook
ваза	vase
зародыш	foetus; embryo
причал	mooring
сотрудничество	collaboration
жидкость	liquid
физик	physicist
спортсмен	sportsman
архитектурный	architectural
тратить/по-	to spend (+a)
покров	"cover, shroud"
автоматизация	automation
коллекция	collection
миролюбивый	peace-loving
пленный	captive
теплоход	"motor-vessel, motor-ship"
алмазный	diamond (adj)
космос	"cosmos, space"
скоростной	"high-speed, express"
вулкан	volcano
выше	"higher, above"
старец	elder (noun)
адмирал	admiral
охлаждение	cooling
минус	minus; disadvantage
видение	vision
лыжи	skis
социалист	socialist (noun)
воздействие	"influence, pressure"
сборный	"collapsible, prefabricated; mixed, combined (team)"
кислород	oxygen
пещера	cave
общечеловеческий	"universal, of all mankind"
каюта	cabin (ship)
пузырёк	bubble; phial
равнина	plain (noun)
девчата	girls (coll)
продолжительный	prolonged
водохранилище	"reservoir, water storage basin"
заповедник	"reserve, nature-reserve"
чемпионат	championship
сердитый	angry
тулуп	sheepskin coat
активность	activity
варить/за-	"to boil, cook by boiling (+a)"
анализировать/про-	to analyse (+a)
аплодировать/за- (+d)	to applaud (s.o. or sth)
ассортимент	assortment
барабан	drum
боковой	side (adj)
болтать/по-	"to shake, stir; (coll) chatter"
влиять/по- (на +a)	to influence
влюблённый (в +a)	in love (with)
внимательный (к)	"attentive, considerate (to)"
водитель	driver
диск	disk; discus
водить/по- (+a)	"to lead, (p) to lead about"
возвращаться/возвратиться	to return
днём	by day; in the afternoon
возрастающий	"growing, increasing"
вполголоса	in an undertone
выражаться/выразиться	to express os; (coll) swear
грешный	sinful
дача	"dacha, holiday cottage"
двойной	"double, twofold"
заманчивый	tempting
доброволец	volunteer
догадка	"guess, conjecture"
допрос	interrogation
древесный	wood (adj)
живопись	"painting, paintings"
завершать/завершить	to complete (+a)
заросль	thicket
коричневый	brown
здравоохранение	"healthcare, health service"
казнь	execution
капитальный	"main, most important"
картофель	potatoes
кирпичный	brick (adj)
клад	treasure [not сокровище]
компьютер	computer
конный	"horse (adj), equestrian"
купол	cupola
лавочка	small shop; small bench
неизбежность	inevitability
заряд	"charge, cartridge"
лад	"harmony, tune; manner"
лечить/вы- (+a)	"to treat, cure"
напевать/напеть	"to sing; sing quietly, hum"
младенец	baby
намёк	"hint, allusion"
насквозь	through
миллиметр	millimetre
небрежно	carelessly
прижиматься/прижаться (к +d)	"to press os (to), snuggle up (to)"
нефтяной	oil (adj)
орошение	irrigation
нелёгкий	difficult; heavy
необычайный	exceptional
неплохой	not bad
опрокидывать/опрокинуть	"to knock over, overturn (+a)"
нетерпеливо	impatiently
обижать/обидеть	"to offend, hurt (+a)"
нелепый	absurd
обнаруживаться/обнаружиться	to be revealed
обрыв	precipice
одиночество	"loneliness, solitude"
одобрять/одобрить (+a)	to approve
опасно	dangerously
опера	opera
неожиданность	surprise [not удивление]
отбрасывать/отбросить	to throw off; discard (+a)
пейзаж	landscape
откос	slope
охотничий	hunting (adj)
палата	chamber; ward
палач	executioner
палочка	"small stick, baton"
парижский	Parisian
перегрузка	overload
переплёт	binding (noun)
подвергать/подвергнуть	to subject (s.o. to sth) (+a +d)
подряд	in succession; contract
пожелание	wish
покойник	"dead person, the deceased"
по-разному	in different ways
по-своему	in one’s own way
потребитель	consumer
почин	initiative
приближаться/приблизиться (к +d)	to approach; draw near
признаваться/признаться	to confess (в +pr)
разрывать/разорвать	to tear up (+a)
принципиальный	"of principle, fundamental"
разгром	crushing defeat; devastation
провод	wire
прожектор	searchlight; floodlight
простота	simplicity
прочно	solidly
прошедший	past (adj)
пузырь	bubble
разоблачать/разоблачить	"to expose, unmask (+a)"
сев	sowing (noun)
разом	"at once, at one go; in a flash (coll)"
распространять/распространить	to spread (+a)
рассеянный	absent-minded
ремень	belt
робко	timidly
свист	whistling (noun)
свойственный (+d)	characteristic (of)
сдерживать/сдержать	"to hold back, restrain, keep (promise) (+a)"
скандал	scandal
сломить (+a)	to break
случайность	"chance, chance occurrence"
собачий	dog’s
советник	adviser
согласно (+d)	according to
татарин	Tatar
сокращать/сократить	to shorten; reduce (+a)
ужинать/по-	to have supper
солидный	"solid, sound; reliable"
спокойствие	calmness
сражение	battle
стадион	stadium
стан	figure (human); camp
стойкость	"firmness, steadfastness"
стремительный	rapid; dynamic
таить	to conceal (+a)
таскать/по-	to drag (+a)
употреблять/употребить (+a)	to use
усиление	strengthening (noun)
устранять/устранить	to remove (+a)
фу	(expressing disgust) ugh!
чудовищный	monstrous
чуждый (+d)	alien (to); (+g) devoid (of)
шоссе	highway
шумный	noisy
блокнот	notepad
эра	era
эффективный	effective
ясность	clarity
адвокат	lawyer
активист	(political) activist
внук	grandson
шутливо	"jokingly, facetiously"
архитектор	architect
бал	ball (dance)
аккуратный	"exact, punctual; tidy"
беднота	the poor
ввиду (+g)	in view of
веко	eyelid
весной	in spring
вешалка	coat hanger
вздрагивать/вздрогнуть	"to start, flinch, shudder"
вопреки (+d)	in spite of
приманка	bait; inducement
вор	thief
быть вправе (+inf)	to have a right to
вспоминаться	to be remembered
встречный	oncoming
ворот	collar; winch
выращивать/вырастить	"to grow (sth), rear, cultivate (+a)"
глухо	indistinctly
господствовать (над +inst)	to dominate
гребень	"comb, crest"
даль	distance
заговор	"plot, conspiracy"
дворник	"caretaker, janitor; (coll) windscreen wiper"
вот-вот	"just about to, on the point of"
деревенский	"village, country (adj)"
длиться	to last
жалость	pity
жёсткий	harsh [not суровый]
заблуждение	delusion
загадочный	mysterious [not таинственный]
загораться/загореться	to catch fire
задумчивый	thoughtful
зимой	in winter
залезать/залезть	"to climb, get (into/onto) (в/на +a)"
заодно	together; (coll) at the same time
заполнять/заполнить	"to fill in, fill up (+a)"
заработок	earnings
заслуженный	deserved; distinguished
икона	icon
злоба	"spite, malice"
извлекать/извлечь	to extract (+a)
излишний	superfluous
изобилие	abundance
индивидуальный	individual (adj)
кое-где	here and there
контакт	contact [not прикосновение]
исключать/исключить	to exclude (+a)
каникулы	"holidays, vacation"
капелька	droplet
кидаться/кинуться	"to throw os, rush"
количественный	quantitative
комендант	"warden (of hostel); commandant, governor"
конфликт	conflict
корка	crust; rind
корреспонденция	correspondence
летом	in summer
максимальный	maximal
индустриальный	industrial
машиностроение	mechanical engineering
местность	"locality, district"
мундир	uniform
набирать/набрать	"to gather, assemble (+a)"
накапливать/накопить	to accumulate (+a)
налетать/налететь	to swoop on; run into (на +a)
наряд	"attire, costume; order, warrant"
обидно	"it hurts, it’s annoying"
настойчивый	insistent
находка	find
неоднократно	repeatedly
нервничать	to be nervous
нисколько	not at all
овладение (+inst)	mastery (of)
ограничиваться/ограничиться (+inst)	to limit oneself (to); be limited (to)
паника	panic
орех	nut
отделять/отделить (+a)	to separate
отпирать/отпереть	to unlock (+a)
отправление	dispatch; departure (of train)
ощущать/ощутить	"to feel, sense (+a)"
пахать	to plough (+a)
первенство	first place (in competition); championship
пласт	layer; stratum [not слой]
поляна	"glade, clearing, forest meadow"
плетень	"hurdle, wattle (fence)"
плотник	carpenter
поближе	a bit closer
подчинение	"submission, subjection"
пожарный	fire (adj); (as noun) fireman
порождать/породить	"to beget, engender, generate (+a)"
поскорее	a little faster; hurry up!
поклон	bow (greeting)
посматривать	to look (at) from time to time (на +a)
почитать/почтить	to respect
поэма	long poem
презрение	scorn
преимущественно	primarily
приспособление	adaptation; device
приход	arrival
проверка	"check(ing), inspection"
яблоня	apple-tree
просыпаться/проснуться	to wake up
электричество	electricity
абстрактный	abstract
рассыпаться	to scatter; crumble
растворяться/раствориться	to dissolve; open
принципиально	on principle; fundamentally
пролетать/пролететь	to fly through or past
теряться/рас-	to get lost; panic
приобретение	acquisition
отступление	digression; retreat
реальность	reality
речка	small river
семьдесят	seventy
руководствоваться (+inst)	to be guided (by)
сбор	"collection, gathering"
сводка	"report, bulletin"
сдача	handing over; change (money returned)
сено	hay
сердечный	heart (adj); heartfelt; warm-hearted
ситуация	situation
рекорд	record
сияние	radiance
скважина	"chink, hole"
тираж	number of copies; draw (lottery)
ломать/с-	"to break, fracture (+a)"
составной	composite; component (adj)
ссылаться/сослаться	"(на +a) to refer to, quote; plead (give as an excuse)"
твёрдость	firmness
тетрадка	exercise book
торжественно	ceremonially; festively
тощий	emaciated
треск	crack; crash
фокус	focus; trick
трещина	"crack, cleft"
труп	corpse
формула	formula
украшать/украсить	to adorn (+a)
упорно	persistently
футбольный	football (adj)
хлебный	bread (adj)
экспериментальный	experimental
хлопок	cotton
хлопок	"clap, bang"
цикл	cycle
анархия	anarchy
банда	"band, gang"
бетонный	concrete (made of concrete) (adj)
вертеться	to rotate
виноват	guilty; sorry! (short adj)
вольно	freely [not свободно]
восемнадцать	eighteen
бремя	burden [not тяжесть]
вредно	(it is) harmful
выдержка	self-control; excerpt
вынужденный	forced
галстук	"tie, necktie"
географический	geographical
дверца	"small door, car door"
гитара	guitar
глиняный	clay (adj)
горка	hillock
девяносто	ninety
демонстрация	demonstration
достояние	property
драгоценность	jewel; something valuable
дрогнуть	"to shake, waver"
дружок	friend (coll)
ёлка	fir tree
ерунда	nonsense; trifling matter (coll)
дрогнуть/про-	"to be chilled, shake (with cold)"
жечь/с- (+a)	to burn
завершение	completion
зависть	envy
завязывать/завязать	"to tie; start, get involved in (+a)"
заливать/залить	to flood (sth with sth) (+a +inst)
задыхаться/задохнуться	to suffocate
заезжать/заехать	to call in
заключительный	"final, concluding"
законодательство	legislation
заносить/занести	to bring in; raise (+a)
запрещать/запретить	(+d) to forbid (s.o.); (+a) ban (sth)
зрелище	spectacle
клин	wedge
иголка	needle
избавляться/избавиться (от +g)	to escape from; get rid of
исследовать	to investigate (+a)
математика	mathematics
касса	cash desk; ticket-office
когда-либо	at any time; ever
историк	historian
контрольный	"checking, monitoring (adj)"
национальность	"nationality, ethnic group"
изложение	exposition
крохотный	tiny (coll)
налаживать/наладить (+a)	"to put in working order, set going, adjust, put in order"
купеческий	merchant (adj)
манёвр	manoeuvre
медицина	"medicine, medical studies"
мобилизовать	to mobilize (+a)
набор	"set, collection; recruitment"
наглядно	"clearly, graphically"
хмуриться/на-	to frown
недоумение	bewilderment
овощи	vegetables
неловкий	awkward
непримиримый	irreconcilable; uncompromising
отчасти	partly
приоткрывать/приоткрыть	to open slightly (+a)
агитация	agitation
прихожая	entrance hall
ограда	fence [not забор]
оригинальный	original
отстаивать/отстоять	to defend (+a)
отцовский	paternal
переменять/переменить (+a)	to transform; change
определённо	definitely
перила	"handrail, banisters (pl)"
печально	sad(ly) [not грустно]
вредить/по- (+d)	"to harm, damage"
прекращаться/прекратиться	to cease
позор	disgrace
полезно	(it is) useful; usefully
осуществляться/осуществиться	"to be brought about, be fulfilled, be put into effect"
поляк	Pole
порыв	gust; impulse
присоединяться/присоединиться (к +d)	"to join, join (a group)"
предназначать/предназначить	"to intend for, earmark (for) (на +a or для +g)"
предпочитать	to prefer (sth to sth) (+a +d)
преодоление	overcoming (noun)
приглашение	invitation
прикосновение	contact [not контакт]
разрез	"cut, section"
проделывать/проделать	"to make, do, accomplish (+a)"
расширяться/расшириться	"to broaden, expand"
прыжок	jump
равняться/с-	(на +a) to emulate; (+d) be equal to
развёртываться/развернуться	"to unroll, unfold; expand; swing round (make a U-turn)"
разъяснять/разъяснить	to explain (+a)
профиль	profile
располагаться/расположиться	to take up position; settle oneself; make os comfortable
сделка	"deal, transaction"
преподаватель	"teacher, lecturer"
режиссёр	"producer (theatre), director (cinema)"
религиозный	religious
соблюдать/соблюсти	"to keep to, adhere to (+a)"
робкий	timid
рухнуть	to collapse
самостоятельно	independently [not независимо]
связанный	connected; bound
скучать	to be bored; (по +d) miss (s.o. or sth)
совпадать/совпасть (с +inst)	to coincide (with)
сознавать/сознать	"to acknowledge, be aware of (+a)"
соскакивать/соскочить (с +g)	to jump off
состязание	competition
тревожный	worrying; worried
стойка	"bar, counter; stance"
стрелка	arrow; hand (of clock)
струна	string (of instrument)
убеждённый	convinced
супруга	spouse (wife)
устало	wearily
сходный	similar; (coll) fair (of price)
туго	"tight(ly); difficult, hardly"
угрюмый	"sullen, gloomy"
упрекать/упрекнуть	"(+a в +pr) to accuse (s.o. of), reproach"
усердно	conscientiously
ух	ooh!
филиал	branch (of organization)
холодильник	refrigerator
худо	"bad, badly"
швырять/швырнуть (+a or +inst)	"to fling, hurl, throw (coll)"
цепляться/за-	(за +a) to clutch (at); catch (on)
частота	frequency
чердак	attic
авангард	vanguard
чётко	"clearly, distinctly, precisely"
шевелить/по- (+a or +inst)	"to stir, move"
шёлковый	silk (adj)
шерсть	wool; hair (of animal)
экскурсия	excursion
былой	"former, past"
юбка	skirt
ястреб	hawk
архив	archive(s)
висок	temple (ear to forehead)
ахать/ахнуть	to gasp
вымысел	"fabrication, fantasy"
бесспорный	indisputable
бешено	"madly, furiously"
вводиться/ввестись	"to be introduced, brought in"
великолепно	splendid(ly)
взвод	platoon
видимость	visibility; appearance
вкладывать/вложить	(+a) to insert; invest
вкусный	tasty
гад	"swine, rat (of person) (coll)"
выбегать/выбежать (из +g)	to run out
горючее	fuel
грамотный	literate
граната	shell; grenade
греметь/за-	"to roar, resound"
греть/по- (+a)	to heat
администрация	administration
дискуссия	discussion
дичь	"game, wildfowl"
ей-богу	"truly, indeed (coll)"
желудок	stomach
произвол	"arbitrariness, abuse of power"
дрожащий	trembling (adj)
противоречивый	contradictory
забивать/забить	(+a) to begin to beat; hammer in; block; cram
изобретать/изобрести	to invent (+a)
задевать/задеть	to touch; catch (on sth) (+a)
замечательно	remarkable; remarkably
изумительный	amazing
записной	note (adj)
засуха	drought
затруднение	difficulty
значок	badge
избыток	abundance; surplus
изящный	elegant
исход	"outcome, end"
календарь	calendar
карточка	card
клясться/по-	"to swear, vow"
маска	mask
коалиция	coalition
котелок	pot; bowler hat
круто	steeply; sharply
латинский	Latin (adj)
лихой	"dashing, daring; skilful (coll)"
мел	chalk; whitewash
мировоззрение	"outlook, philosophy of life"
комментарий	commentary
мучить/за-	to torment (+a)
мяч	ball (for games)
наедине	in private; alone
литься/по-	to pour
наибольший	largest
намечаться/наметиться	to be planned
насмешка	taunt
ознакомляться/ознакомиться (с +inst)	to acquaint oneself with
недовольный (+inst)	dissatisfied (with)
неизменно	invariably
одобрение	approval
немедленный	immediate
необыкновенно	unusually
непонятно	incomprehensible/ly
отбивать/отбить	"(+a) to repulse; remove; break off; beat off, get by force"
нетерпение	impatience
неудача	failure
обозначать/обозначить	"to mark, designate, denote, mean (+a)"
ограничивать/ограничить	to limit (+a)
осуждать/осудить	to condemn (+a)
петля	loop; hinge
повседневный	everyday
отважный	courageous
палатка	tent
пена	foam
первобытный	primitive
переживание	"experience, emotional experience"
платформа	platform
плодородный	"fertile, fruitful"
поверх (+g)	above
подвёртываться/подвернуться	"(coll) to turn up, crop up; be rolled up; be sprained, twisted (foot)"
делиться/по- (+inst c +inst)	to share (sth with s.o.)
вложение	enclosure (in letter); investment
подлый	"mean, underhand"
венгерский	Hungarian
подполье	underground organization; cellar
подражать (+d)	to imitate
возникновение	"beginning, origin"
волшебный	magic
враждебный	hostile
грош	"half-kopeck, farthing"
вред	harm
губерния	tsarist province (now область)
выборы	election (pl)
гадость	filth; dirty trick
геологический	geological
замена	replacement
гимнастёрка	soldier’s tunic
гнёт	oppression
граф	count (title)
график	graph; schedule
демократ	democrat
дорожный	road (adj)
духовенство	clergy
едкий	"acrid, pungent; sarcastic"
жадно	greedily
жилище	"dwelling, habitation"
заветный	"cherished, intimate"
заново	anew
западноевропейский	Western European
кружиться/за-	"to whirl, spin round; begin to spin"
кожаный	leather (adj)
запевать/запеть	to start singing
затрачивать/затратить	"to spend, expend (+a)"
звонкий	"ringing, clear"
знаток	expert
ирония	irony
исповедь	confession
лапа	paw
колония	colony
конский	horse (adj)
конфета	sweet (noun)
кто-либо	anyone
купаться/ис-	to bathe
кучка	small heap; small group
путём (+g)	by means of
липа	lime tree
наводить/навести	"to guide (to); evoke, cause (+a)"
ловушка	trap
метель	snowstorm
лопаться/лопнуть	to burst
любопытно	curiously
материк	mainland
мгновенно	"instantaneously, instantly"
мостовая	roadway
мышка	armpit; mouse
налог	tax
напряжённость	tension
национализм	nationalism
неверно	false(ly)
негодяй	rascal
недаром	not for nothing
недоверие	mistrust
образованный	educated
некто	"someone, a certain"
ненужный	unnecessary
непререкаемый	unquestionable
новинка	novelty
обедать/по-	"to dine, have a meal"
обрываться/оборваться	to snap; stop suddenly; stop short
оживление	"excitement, animation"
относительный	relative (adj)
отныне	henceforth
отодвигать/отодвинуть	to move aside (+a)
перебирать/перебрать	(+a) to sort out; look through; go over; sort through; to take in excess
отчаянно	desperately
официант	waiter
оформление	registration; putting in required form
пальма	palm tree
патриотизм	patriotism
педагогический	"pedagogical, education (adj)"
переписка	correspondence
перерезать	to cut (+a)
печаль	sorrow
плюс	plus; advantage
плясать/с-	to dance
погреб	cellar
подмигивать/подмигнуть (+d)	to wink (at)
подсчёт	calculation
подъезд	"entrance, doorway"
покорно	"humbly, obediently"
полвека	half a century
поправка	correction
попросту	simply (coll)
последовательность	sequence; consistency
смеяться/по-	to laugh
пояснять/пояснить (+a)	to explain
правильность	correctness
превосходство	superiority
предъявлять/предъявить (+a +d)	"to show, present (sth to s.o.)"
придерживаться (+g)	"to keep to, adhere to"
прилетать/прилететь	to arrive (by air)
примесь	admixture
посредине (+g)	in the middle (of)
провокация	provocation
проповедь	sermon
пророк	prophet
ресница	eyelash
противоречить (+d)	to contradict (s.o. or sth)
процветание	flourishing; prosperity
птичий	bird’s
пьянство	drunkenness
своевременный	timely
радуга	rainbow
громить/раз-	to rout; wreck (+a)
раскрываться/раскрыться	"to open; be revealed, open up"
расправа	reprisal; harsh treatment; punishment
рассматриваться	to be considered
ритм	rhythm
спираль	spiral
рыбный	fish (adj)
справка	piece of information; certificate
сбиваться/сбиться	"to slip; go wrong, get confused; huddle together"
сдержанный	restrained
склоняться/склониться	"to bend, bow; be declined"
скотина	cattle
сноха	daughter-in-law (of husband’s father)
сообщаться/сообщиться	to be communicated; communicate with
прогноз	forecast
спрос	demand (opposite of supply)
сражаться/сразиться (с +inst)	to fight
удача	success
фактически	in fact; practically
топать/топнуть	to stamp (one’s feet); (coll) go (=идти)
трибуна	platform; stand (in stadium)
трястись	to shake; tremble
тусклый	dim
церемония	ceremony
тьфу	"(euphemism for spitting; expressing dislike or scorn) yuk!, ugh!, pah! (coll)"
убедительный	convincing; earnest
ускорение	acceleration
успокаивать/успокоить	"to calm, soothe, quieten (+a)"
уступка	concession
различать/различить	to distinguish (+a)
остро	"sharply, intensely"
разлагать/разложить	"to analyze, decompose, expand, corrupt, demoralize, break down"
бор	"pine wood, coniferous forest"
чудесно	wonderfully
шумно	noisily
элементарный	elementary
энергичный	energetic
энтузиазм	enthusiasm
этак	"this way, thus; approximately (coll)"
безупречный	irreproachable
шептаться	to whisper
безусловный	unconditional
чувствоваться/по-	to be felt
берёзка	little birch tree
электроэнергия	electric power
бесполезно	uselessly
цирк	circus
биологический	biological
борщ	"borsch, beetroot soup"
борющийся	struggling
четверг	Thursday
бочка	barrel
выявлять/выявить (+a)	"to reveal, expose"
влага	"damp, moisture"
бюджет	budget
валять	to drag; to roll
верность	"faithfulness, loyalty; truth"
вертикальный	vertical
взбираться/взобраться	to climb up
вздор	nonsense  (coll)
виться/с-	"to wind, twine, twist"
вишнёвый	cherry (adj)
влюбляться/влюбиться (в +a)	to fall in love with
возглавлять/возглавить	"to head, lead (+a)"
возмущённо	indignantly
волевой	strong-willed
воображать/вообразить	to imagine
воронка	funnel
воспринимать/воспринять	to perceive (+a)
вскидывать/вскинуть	"to throw (upwards, up onto) (+a на +a)"
вторник	Tuesday
вуз	"university, institute (higher education establishment)"
вылезать/вылезть	to climb out
горох	peas
делить/раз-	"to divide, share (+a)"
выручать/выручить	to rescue; make (money) (+a)
высадка	"landing, disembarkation"
высылать/выслать	"to send out; exile, deport (+a)"
головной	head (adj)
горечь	bitterness
достигнутый	achieved
грузовой	goods (adj)
двенадцатый	twelfth
девичий	"girl’s, maiden’s"
деваться/деться	"to get to, vanish"
законодательный	legislative
избранный	selected
измерение	measurement; dimension
индийский	Indian
инспектор	inspector
интервью	interview
искоса	sideways (coll)
искусственно	artificially
истёкший	"past, preceding"
досрочно	ahead of schedule
канадский	Canadian (adj)
керосин	kerosene
жар	heat
могущественный	powerful
колокольня	bell-tower
копаться	to rummage; dawdle
критик	critic
многолетний	"lasting many years; long-lasting, perennial"
лауреат	prize-winner
любезный	kind; obliging
любимец	favourite (noun)
мелькать/мелькнуть	to be (briefly) visible
миссия	mission
настоящее	the present
мода	fashion
молиться/по-	to pray
мудрость	wisdom
наполовину	"half, by half"
недовольно	discontentedly
ожидаться	to be expected
необычайно	exceptionally
ноздря	nostril
носок	sock; toe of boot
обсуждаться/обсудиться	to be discussed
огненный	fiery
око	"eye (bookish, poetic)"
ноготь	"fingernail, toenail"
оперативный	energetic; operative
описанный	described
нива	"field, cornfield"
оплата	payment
организованный	organized
нянька	nurse (coll)
раскладывать/разложить	"to put away, lay, set up, distribute, lay out; spread"
осваивать/освоить	to master (+a)
пепел	"ash, ashes"
разлука	separation
ранее	earlier
рациональный	rational
резолюция	resolution
ремонтный	repair (adj)
римский	Roman
рисковать/рискнуть (+inst)	"to risk, take a risk"
росток	"sprout, shoot"
рулевой	steering (adj); helmsman
свинец	lead (metal)
семилетний	seven-year; seven-year-old
скользить	to slide
сколько-нибудь (+g)	"any, any quantity of"
скопление	accumulation
смертельный	fatal
снабжать/снабдить	to supply (s.o. with sth) (+a +inst)
собственник	owner
совокупность	totality
созданный	created
соломенный	straw (adj)
сочувствовать (+d)	to sympathize (with)
специфический	specific
ставка	rate; stake (gambling); headquarters (mil)
стихотворение	poem
столичный	capital (adj)
столовый	table (adj)
суета	"bustle, fuss"
сукин	bitch’s (poss adj)
танцевальный	dance (adj)
театральный	theatrical
типография	"printing-house, press"
тыкать/ткнуть	"to prod, jab (sth into sth) (+inst в +a or +a в +a)"
товарищеский	comradely; friendly
трагедия	tragedy
трепать/по-	"to rumple, tousle; pat; (coll) natter"
тропинка	path
тупой	blunt; stupid
упор	prop
употребление	use
утрачивать/утратить	to lose (+a)
учащийся	student (active participle)
фельетон	satirical article
хаос	chaos
хищник	beast of prey; bird of prey; predator
хохот	"loud laughter, guffaw"
хранение	keeping; storage
храниться/со-	to be kept
хребет	spine; ridge; mountain range
хрупкий	fragile
целина	"virgin soil, virgin land"
целое	the whole; integer
цепочка	small chain; series
чересчур	"too, excessive(ly)"
чернила	ink
чёткий	"clear, precise"
чистить/по- (+a)	to clean
шестнадцать	sixteen
щи	cabbage soup
экономист	economist
эксплуатировать	to exploit
авось	perhaps
авторский	author’s
актриса	actress
алый	scarlet
ангел	angel
анкета	"questionnaire, form"
античный	ancient [not древный]
арбуз	water melon
банкир	banker
бегство	"flight, escape"
бедность	poverty
бензин	petrol
бесплатный	free (of charge)
беспокойно	restlessly; disturbing
блистательный	brilliant
болезненный	unhealthy
брызги	spray
вдобавок (к +d)	in addition (to) (coll)
веление	command
вероятный	probable
владыка	"master, ruler"
возбуждённый	"aroused, excited"
восприятие	perception
вражеский	enemy (adj)
всевозможный	all kinds of
вытеснять/вытеснить (+a)	"to force out, displace"
гнилой	"rotten, decayed"
гонять/по- (+a)	"to drive, make (s.o.) run"
государь	sovereign
грабить/о-	"to rob, pillage (+a)"
двигать/двинуть	"to move, set in motion (+a or +inst)"
дворянин	"nobleman, member of the gentry"
деятельный	active
добровольный	voluntary
доносить/донести	"(+a до +g) to carry (sth to); (+a +d) report (sth to s.o.); (на +a) inform (on s.o.), denounce (s.o.)"
дружина	militia
дымок	puff of smoke
жевать/про-	to chew (+a)
житейский	worldly; everyday
загонять/загнать	to drive in (+a)
заголовок	"title, heading"
душить/за-	"to strangle, suffocate, stifle (+a)"
зажимать/зажать	to squeeze (+a)
заиграть	to start playing (+a)
заказывать/заказать	to order (sth) (+a)
закусывать/закусить	"to have a snack, have some food"
запрещение	"prohibition, ban"
земляной	"earthen, earth (adj)"
знакомить/по-	to introduce (s.o. to s.o. or sth) (+a с +inst)
известность	fame
издеваться (над +inst)	"to mock (s.o.), make fun of"
исполнительный	executive (adj); efficient
кабина	cabin
камин	fireplace
кампания	campaign
каток	skating-rink; roller
колбаса	"sausage, salami"
колос	ear (of corn)
командировка	"business trip, study trip, assignment"
костыль	crutch
крепнуть/о-	"to get stronger, get stronger"
кружка	"mug, tankard"
крупинка	grain
крыться/по-	"to lie (in), be concealed (in) (в +pr)"
кубок	"goblet, bowl"
лишаться/лишиться (+g)	"to be deprived of, lose"
лужа	puddle
мальчишеский	boyish; childish
мёд	honey
мигать/мигнуть	"to blink, wink"
молоток	hammer
молочный	milk (adj)
мрачно	gloomily
мысленно	mentally
