*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
el entreguismo	appeasement
*** 1671 - 1680 (/course/195613/spanish-nouns-4/168/)	
la escalerita	ladder
el frufrú	"rustling, rustle"
la globina	globin
el hiperrealismo	hyperrealism
la isometría	isometry
la marica	"sissy, pansy, milksop"
el matonismo	bullying
el moblaje	furniture
la mojigatería	"sanctimony, prudery, priggishness"
la morisma	Moors
*** 1691 - 1700 (/course/195613/spanish-nouns-4/169/)	
la revalidación	revalidation
la seño	"breast, sinus, sine"
el sismólogo	seismologist
el sobrecogimiento	awe
la sustancialidad	substantiality
la teleconferencia	teleconference
la teletienda	"TV shop, home shopping service"
el triptófano	tryptophan
la vinicultura	viniculture
la visceralidad	visceral
*** 1681 - 1690 (/course/195613/spanish-nouns-4/170/)	
la morriña	"homesickness, nostalgia, murrain"
el negativismo	negativism
el organdí	"organdie, organza, organdy"
el overol	overall
la palinodia	palinode
el partero	accoucheur
el polivinilo	polyvinyl
la precognición	precognition
el rapónchigo	Rapunzel
la reprivatización	reprivatization
*** 1701 - 1710 (/course/195613/spanish-nouns-4/171/)	
el buje	"axle box, bushing"
el pingajo	"rag, shred"
el valedor	"protector, guardian"
la derrochadora	"spendaholic, compulsive spender, spendthrift"
la fruslería	"silly thing, trifle, triviality"
la libranza	order of payment
la monitora	"monitor, instructor, supervisor"
el actuario	actuary
(el)(la) aeta	Aeta
la amiloidosis	amyloidosis
*** 1721 - 1730 (/course/195613/spanish-nouns-4/172/)	
el alcaraván	curlew
el degollador	Cutthroat
el sordomudo	deaf-and-dumb
el decímetro	"decimeter, decimetre"
la diuresis	diuresis
el volcado	"dump, dumping"
(los)(las) ambientalistas	environmentalists
la epacta	epact
el excipiente	excipient
los afrontados	faced
*** 1711 - 1720 (/course/195613/spanish-nouns-4/173/)	
la barracuda	barracuda
el bético	Betis
la boliviana	Bolivian
el loquero	booby hatch
los bronquiolos	bronchioles
el peralte	"camber, bank"
la cista	cist
las clementinas	clementines
los pastorcillos	cowherd
el lisiado	"cripple, disabled person"
*** 1731 - 1740 (/course/195613/spanish-nouns-4/174/)	
el guantelete	gauntlet
el germanismo	Germanism
el ánsar	goose
los jardines	grounds
el almez	hackberry
el haitiano	Haitian
la himalaya	Himalayas
(el)(la) ilusionista	illusionist
la agüita	"infusion, tea"
la intermisión	intermission
*** 1741 - 1750 (/course/195613/spanish-nouns-4/175/)	
el tejano	jeans
el manito	little hand
(los)(las) marianistas	Marianists
el papamoscas	marsh warbler
(el)(la) miope	myopic
el caballejo	nag
la prójima	"neighbor, fellow"
la nefritis	nephritis
(el)(la) nómada	"nomad, wanderer"
el aquilón	north
*** 1751 - 1760 (/course/195613/spanish-nouns-4/176/)	
la nota	"note, notice, footnote"
la organizadora	Organising
el otorrinolaringólogo	otolaryngologist
la afloración	outcrop
los palmares	palm grove
el pelado	"peeling, skinning, shelling"
el pensionado	"pensioner, boarder"
el pilote	"pile, stilt, piling"
el pistolete	pistol
el caniche	poodle
*** 1761 - 1770 (/course/195613/spanish-nouns-4/177/)	
la prostatitis	prostatitis
el purgante	"purgative, purge"
el rodillazo	push with the knee
el cuadrúpedo	quadruped
la reduplicación	reduplication
la recordatoria	reminder
el esquirol	"scab, blackleg, fink"
el patineta	"scooter, kick scooter, skateboard"
el soplón	"snitch, informer, squealer"
el bife	"steak, beefsteak, slap"
*** 1771 - 1780 (/course/195613/spanish-nouns-4/178/)	
la termogénesis	thermogenesis
los trillizos	"triplet, triple"
la tuberosidad	tuberosity
el gallinazo	"turkey buzzard, turkey vulture, buzzard"
(el)(la) unionista	unionist
el carretón	"wagon, cart, bogie"
la mesera	waitress
el calce	"wedge, shim"
el maremágnum	welter
el escogido	"workers' meeting, selection process, selection room"
*** 1781 - 1790 (/course/195613/spanish-nouns-4/179/)	
el géiser	geyser
el minibús	minibus
los defendidos	defence client
el arcedianato	"archdeaconry, archdeaconship, archdeaconate"
el austro	Austro
la barita	baryta
la chamba	"fluke, pure chance, occupation"
la cloración	chlorination
el clóset	"closet, wardrobe"
el craqueo	cracking
*** 1791 - 1800 (/course/195613/spanish-nouns-4/180/)	
la cumplidora	dutiful
el eliseo	"Elysium, elisha"
la epinefrina	epinephrine
la excisión	excision
la floculación	flocculation
el gamberrismo	"hooliganism, rowdyism"
la guipuzcoana	Guipuzcoa
el haluro	halide
la imperturbabilidad	imperturbability
la inspiradora	inspirator
*** 1811 - 1820 (/course/195613/spanish-nouns-4/181/)	
el planetoide	planetoid
la risilla	giggle
la sagita	sagittal
la sobreprotección	overprotection
la tapioca	"tapioca, cassava"
el tipismo	"local colour, picturesque, traditionalism"
(el)(la) trombonista	trombonist
la turmalina	tourmaline
los ravioles	ravioli
el apadrinamiento	sponsorship
*** 1821 - 1830 (/course/195613/spanish-nouns-4/182/)	
la retadora	challenger
el depravado	degenerate
la acémila	"beast of burden, mule, thick-headed person"
la bobería	"silliness, idiocy"
la hormiguita	busy bee
el áloe	"aloe, aloes"
el antiséptico	antiseptic
el beduino	Bedouin
(el)(la) bengalí	Bengali
(el)(la) mandamás	"big shot, top dog"
*** 1801 - 1810 (/course/195613/spanish-nouns-4/183/)	
el kantismo	Kantianism
la listeza	"cleverness, gumption"
el lumbago	lumbago
la manejabilidad	manageability
el narcoterrorismo	narco
la neuropsicología	neuropsychology
la niacina	niacin
el oncogén	oncogene
el pantógrafo	pantograph
la papiroflexia	origami
*** 1831 - 1840 (/course/195613/spanish-nouns-4/184/)	
el farolero	bluffer
el bichito	bug
la hornilla	"burner, ring, hob"
la palmeta	"cane, caning"
el cañuto	canute
el caribú	caribou
la chavala	"chick, lass"
la china	"china, guessing game using pebbles, porcelain"
el teñido	"colouring, coloring, dyeing"
el concentrado	"concentrate, extract, concentration"
*** 1841 - 1850 (/course/195613/spanish-nouns-4/185/)	
el amigote	"crony, pal, chum"
el detractor	detractor
la esforzada	effortful
la estilográfica	fountain pen
el churro	"fritter, churro, doughnut"
el duendecillo	"gremlin, elfin"
la gualdrapa	horse blanket
el chusco	"hunk of bread, crust"
el estúpido	idiot
la inexperta	inexperienced
*** 1851 - 1860 (/course/195613/spanish-nouns-4/186/)	
el inyector	"injector, nozzle"
el marbete	"label, tag"
la ligada	linked
la lobotomía	lobotomy
el somier	mattress base
el moca	mocha
el abdías	obadiah
la turbera	peatbog
los pedipalpos	pedipalps
el poderoso	"person in power, powerful person"
*** 1861 - 1870 (/course/195613/spanish-nouns-4/187/)	
el trazador	"plotter, tracer"
la neumonitis	pneumonitis
los presbiterianos	Presbyterians
(el)(la) regionalista	regionalist
la rotativa	"rotary press, press"
el autoanálisis	self-analysis
el espádice	spadix
la hambrienta	starveling
(el)(la) tecnócrata	technocrat
la tenca	tench
*** 1871 - 1880 (/course/195613/spanish-nouns-4/188/)	
el caco	"thief, burglar"
el trapezoide	trapezoid
el trillón	"trillion, quintillion"
el sinsabor	trouble
(el)(la) valencianista	Valencia
la vicisitud	"vicissitude, avatar, difficulty"
la curruca	warbler
el picamaderos	woodpecker
la quásar	quasar
la panadera	baker
*** 1881 - 1890 (/course/195613/spanish-nouns-4/189/)	
la mecanógrafa	typist
el ohm	ohm
el lebrel	hound
la tintorera	shark
la tocaya	namesake
la matraca	rattle
la celdilla	cell
la paraplejia	paraplegia
el visigodo	Visigoth
el afinamiento	fine tuning
*** 1891 - 1900 (/course/195613/spanish-nouns-4/190/)	
el americio	americium
(el)(la) ascensorista	elevator
el cesarismo	Caesarism
la chuta	"needle, works"
la dentífrica	dentifrice
la despresurización	depressurization
el ecónomo	trustee
el eglefino	haddock
el ensalzamiento	exaltation
el escolio	scholium
*** 1911 - 1920 (/course/195613/spanish-nouns-4/191/)	
el nucléolo	nucleolus
la particularización	particularization
la pavura	struck terror
el pinole	pinole
la prednisona	prednisone
el providencialismo	providentialism
el rafe	raphe
el ritualismo	ritualism
el rosco	"biscuit, bread-roll, doughnut"
el secesionismo	secessionism
*** 1901 - 1910 (/course/195613/spanish-nouns-4/192/)	
el espato	spar
la ictiología	ichthyology
el jacarandá	jacaranda
la ludopatía	gambling
la maltosa	maltose
el mayoreo	wholesale
la melatonina	melatonin
la nema	Nema
el neonato	neonate
el neurobiólogo	neurobiologist
*** 1921 - 1930 (/course/195613/spanish-nouns-4/193/)	
la sobreexposición	overexposure
la tembladera	scrapie
el transceptor	transceiver
la transigencia	compromise
el triodo	triode
el vendimiario	vendémiaire
el porteador	"porter, bearer, carrier"
el talabartero	"saddler, harness maker"
el pastelillo	"small cake, tart"
el taray	tamarisk
*** 1931 - 1940 (/course/195613/spanish-nouns-4/194/)	
la dispensadora	dispensing
el antiinflamatorio	antiinflammatory
el violón	"bass, double bass"
las benzodiazepinas	benzodiazepines
el apostador	bettor
el bilbaíno	Bilbao
la borraja	"borage, starflower, Borago officinalis"
los britanos	Britons
el abombamiento	bulge
el marimacho	"butch, hoyden"
*** 1941 - 1950 (/course/195613/spanish-nouns-4/195/)	
el ratonero	buzzard
el quilate	"carat, karat"
los cofactores	cofactors
el colirio	"collyrium, eye drops, eyewash"
la concusión	"concussion, extortion"
(el)(la) polizonte	"cop, copper"
la crepitación	"crepitation, roar, crackle"
la autoescuela	driving school
la disartria	dysarthria
la elaboradora	Elaboration
*** 1951 - 1960 (/course/195613/spanish-nouns-4/196/)	
el fijador	"fixer, fixative, gel"
la oropéndola	golden oriole
la torva	grim
el grog	grog
la rayita	hairline
la taracea	inlay
la chirigota	"joke, fun, chirigota"
la personita	little person
el malvavisco	"marshmallow, Althaea officinalis"
la albóndiga	"meatball, ball"
*** 1971 - 1980 (/course/195613/spanish-nouns-4/197/)	
la baca	"roof, rack, top"
la escarlata	scarlet
el lavador	scrubber
las ñas	sized
(el)(la) bolsista	stockbroker
la azucarera	sugar bowl
el tebano	Theban
la tibia	"tibia, shinbone"
el dobladillo	"turn-up, cuff"
la perinola	whirligig
*** 1981 - 1990 (/course/195613/spanish-nouns-4/198/)	
la alemána	German
la cantinera	"barman, sutler"
el chupo	"furuncle, boil, carbuncle"
la examinadora	examiner
la contrafigura	counterpart
el orfelinato	orphanage
el boyardo	boyar
la aguanieve	sleet
el cornudo	cuckold
el sexólogo	sexologist
*** 1961 - 1970 (/course/195613/spanish-nouns-4/199/)	
los oculares	ocular
(el)(la) telefonista	"operator, telephonist"
las pares	"par, couple, pair"
la filia	philia
el reservado	"private room, private booth"
la prestadora	provider
la psicopatía	psychopathy
la radioemisora	radiostation
la maraca	"rattle, maraca"
la menguada	reduced
*** 1991 - 2000 (/course/195613/spanish-nouns-4/200/)	
el acilo	acyl
el addenda	addendum
el aflojamiento	"relaxation, release"
el amamantamiento	breast-feeding
la ambliopía	amblyopia
el anabolismo	anabolism
la bisectriz	"bisector, bisectrix"
el brahmanismo	Brahmanism
(el)(la) chaveta	"key, pin, cotter"
la coedición	coedition
*** 2001 - 2010 (/course/195613/spanish-nouns-4/201/)	
el crup	croup
la dulcería	confectionery store
la eclampsia	eclampsia
el etólogo	ethologist
el indiferentismo	indifference
el iterbio	ytterbium
la marijuana	"marijuana, cannabis, pot"
la masilla	"putty, filler"
el moquillo	"distemper, pip"
la musiquilla	tune
*** 2011 - 2020 (/course/195613/spanish-nouns-4/202/)	
la panga	"canoe, barge"
el pateo	boo
la picea	spruce
la piedrita	"rock, stone, hailstone"
la sepiolita	sepiolite
el septeto	"septet, septette"
la cachucha	cap
la instigadora	instigator
(el)(la) orate	"lunatic, bonkers"
la anfibología	amphibology
*** 2021 - 2030 (/course/195613/spanish-nouns-4/203/)	
el arabesco	arabesque
el áureo	aureus
la balalaica	balalaika
el balaustre	"baluster, banister"
la pelotita	beanbag
la cabrona	bitch
el santísimo	Blessed
los direccionales	blinker
el carozo	carp
la canana	cartridge belt
*** 2031 - 2040 (/course/195613/spanish-nouns-4/204/)	
el cafetal	coffee plantation
la contramarcha	countermarch
la dalia	dahlia
el deflector	"deflector, baffle, baffle plate"
los alteradores	disrupters
la rencilla	fight
el calvero	glade
el colmado	"grocer's shop, grocery store, bodega"
la lechada	"grout, whitewash"
el gacetillero	"hack, paragrapher, paragraphist"
*** 2041 - 2050 (/course/195613/spanish-nouns-4/205/)	
el almiar	"hayrick, stack, haystack"
el escaramujo	"hip, rose hip, wild rose"
los acaparadores	hoarders
el mesonero	"host, innkeeper, landlord"
la matadora	"killer, matador"
la falencia	"lack, thing lacking, bankruptcy"
el pintalabios	lipstick
la litiasis	lithiasis
el pegote	"mass, blotch, blob"
las autocaravanas	"mobile home, camper"
*** 2051 - 2060 (/course/195613/spanish-nouns-4/206/)	
(el)(la) monopolista	monopolist
la midriasis	mydriasis
el billetero	notecase
el guarismo	numeral
el solterón	"old bachelor, bachelor, confirmed bachelor"
la osteomielitis	osteomyelitis
el anorak	"parka, anorak"
el recogedor	"picker, dustpan, scoop"
el encharcamiento	ponding
los póngidos	pongids
*** 2121 - 2130 (/course/195613/spanish-nouns-4/207/)	
la recalada	landfall
la ridiculización	"ridicule, mockery"
la riolita	rhyolite
el satín	"satin, satinwood"
el semitismo	Semitism
el substantivo	noun
el subtexto	subtext
el superíndice	superscript
el talio	thallium
la tanqueta	tanker
*** 2061 - 2070 (/course/195613/spanish-nouns-4/208/)	
el poni	pony
el publicador	Publisher
la cuáquera	Quakeress
el replicador	replicator
(el)(la) secante	"secant, drying, siccative"
el torpedero	shortstop
la sentada	"sitting, sit-in"
el hollejo	"skin, husk"
el apilamiento	stacking
la estirada	"stretch, full length save, dive"
*** 2071 - 2080 (/course/195613/spanish-nouns-4/209/)	
los bastarnos	suffice
el superlativo	superlative
la sobrepelliz	surplice
el hojalatero	tinsmith
el desocupado	unemployed person
el lavamanos	washbasin
la escrita	writing
el azimut	azimuth
el cobaya	guinea pig
el mondadientes	toothpick
*** 2081 - 2090 (/course/195613/spanish-nouns-4/210/)	
la civeta	civet
el bizantino	Byzantine
el perpetrador	perpetrator
la loncha	slice
el escotillón	trap door
la aducción	adduction
la amarillez	yellowness
el anaranjado	orange color
el ayunador	hunger artist
el biotipo	biotype
*** 2091 - 2100 (/course/195613/spanish-nouns-4/211/)	
el cabestrante	winch
el calzador	shoehorn
el campanilleo	"ringing, tinkling, tinkle"
el chumbo	pear
el cínife	gadfly
la cordobesa	Cordoba
la curtiduría	tannery
la dataría	would date
el dativo	dative
la destructividad	destructiveness
*** 2101 - 2110 (/course/195613/spanish-nouns-4/212/)	
la edafología	"edaphology, pedology"
la efusividad	effusivity
el enrollamiento	curl
la esparcidora	spreaders
el fibrinógeno	fibrinogen
la fumada	drag
el hafnio	hafnium
el hipérbaton	hyperbaton
la hiperventilación	hyperventilation
el iconostasio	iconostasis
*** 2111 - 2120 (/course/195613/spanish-nouns-4/213/)	
la instantaneidad	instantaneity
la isotropía	isotropy
el lulú	Lulu
la marcialidad	martial
el monorraíl	monorail
el neorromanticismo	neoromanticism
el obstat	nulla
el pestañeo	blinking
la piquera	"hole, vent"
la procuración	"proxy, procuration"
*** 2131 - 2140 (/course/195613/spanish-nouns-4/214/)	
el tecnicolor	Technicolor
el teósofo	Theosophist
la totalización	totalization
la virología	virology
la volatería	poultry
la yola	yawl
el burgalés	from Burgos
el coturno	"buskin, cothumus"
la potranca	"filly, young mare"
la aspillera	loophole
*** 2151 - 2160 (/course/195613/spanish-nouns-4/215/)	
la lazada	"bow, bowknot"
los corredores	Brokers
el circunloquio	circumlocution
la trepanación	clambering
el envuelto	cocoon
el roquedo	crag
la cretona	cretonne
el equino	"equine, echinus"
el etmoides	ethmoid
el comedero	"feeder, trough"
*** 2141 - 2150 (/course/195613/spanish-nouns-4/216/)	
la gamberrada	"piece of hooliganism, loutish thing"
el batidor	"scout, gold beater, informer"
el coletazo	"blow or thrash or swipe of the tail, swaying movement"
(el)(la) trapecista	"aerialist, trapeze artist"
la angélica	angelica
el antónimo	"antonym, opposite"
la bayeta	"baize, dishcloth, duster"
el percebe	"barnacle, goose barnacle"
el campanillazo	bells ringing
la bocaza	"bigmouth, loudmouth"
*** 2161 - 2170 (/course/195613/spanish-nouns-4/217/)	
la quintilla	five-line stanza
el ijar	flank
el volador	"flying, flying fish, jumbo flying squid"
el cantador	"folksinger, chorister"
el gondolero	gondolier
el verde	"green, greenback, buck"
el hit	hit
el avispón	hornet
la planchadora	ironer
la francachela	jamboree
*** 2171 - 2180 (/course/195613/spanish-nouns-4/218/)	
el chascarrillo	joke
la lasaña	lasagne
la pernera	"leg, trouser leg"
los marcomanos	Marcomanni
el sollado	mess-deck
el berenjenal	"mess, trouble, aubergine field"
la meticulosa	meticulous
el nidal	"nest, haunt"
la feromona	pheromone
el cortinón	portiere
*** 2181 - 2190 (/course/195613/spanish-nouns-4/219/)	
la lindeza	prettiness
el rododendro	rhododendron
el arenero	sandbox
la burrada	"shitload, herd of donkeys, gross error"
las carnestolendas	Shrovetide
el silenciador	"silencer, muffler"
(el)(la) esclavista	slave holder
el ahumado	"smoking, curing"
el estafilococo	staphylococcus
la sinalefa	synalepha
*** 2191 - 2200 (/course/195613/spanish-nouns-4/220/)	
el tesauro	thesaurus
el díscolo	"tight-fisted sod, stingy bugger, tightwad"
la ondina	Undine
el acomodador	"usher, attendant"
el mirón	"voyeur, peeper, onlooker"
el calzonazos	"wimp, wuss, henpecked husband"
el palurdo	"yokel, hick"
la bienaventurada	blessed
la entrevistadora	interviewer
el folclórico	folk
*** 2201 - 2210 (/course/195613/spanish-nouns-4/221/)	
el hiperenlace	hyperlink
el parteluz	mullion
el pandemónium	pandemonium
la mosquitera	mosquito
la pavesa	ember
el tailandés	Thai
el uruguayo	Uruguayan
el abulón	abalone
la alanina	alanine
el avenimiento	"compromise, agreement"
*** 2211 - 2220 (/course/195613/spanish-nouns-4/222/)	
el blancor	whiteness
la bronconeumonía	bronchopneumonia
el calcáneo	calcaneus
la carrerilla	"quick step, musical octave, run"
la compaginación	collating
la conejita	bunny
el cornezuelo	ergot
el descifre	decipherment
el deservicio	disservice
el deslizador	"speedboat, powerboat, slider"
*** 2221 - 2230 (/course/195613/spanish-nouns-4/223/)	
la desmemoria	forgetfulness
el ensayador	tester
la esplenomegalia	splenomegaly
la estanflación	stagflation
el estator	stator
el gatopardo	Leopard
el hipocentro	hypocenter
la informadora	reporting
la intercambiabilidad	interchangeability
el invernáculo	hothouse
*** 2231 - 2240 (/course/195613/spanish-nouns-4/224/)	
la iracundia	ire
la isomería	isomerism
la microelectrónica	microelectronics
el montanismo	"mountaineering, climbing"
la panificación	bread
el papamóvil	popemobile
el paralogismo	paralogism
la polonesa	polonaise
el prendedor	brooch
la preterición	"pretermission, preterition"
*** 2241 - 2250 (/course/195613/spanish-nouns-4/225/)	
la ritualización	ritualization
el sidecar	sidecar
el siroco	sirocco
la subalimentación	underfeeding
la testificación	witness
el tiranicidio	tyrannicide
el toronjil	melissa
la trompetería	trumpets
el vaporizador	"vaporizer, atomizer"
el conglomerante	conglomerate
*** 2251 - 2260 (/course/195613/spanish-nouns-4/226/)	
la lezna	awl
el mojinete	"ridge, tiling, coping"
el ayudador	helper
(el)(la) urbanista	urban planner
la recaudadora	"tax office, IRS"
la trompetilla	ear trumpet
la toxicomanía	drug-addiction
el redoblante	snare drum
la alcalosis	alkalosis
(el)(la) altruista	altruist
*** 2261 - 2270 (/course/195613/spanish-nouns-4/227/)	
la anastomosis	anastomosis
(el)(la) apologista	apologist
la agresora	"attacker, aggressor, assailant"
el abejaruco	bee-eater
el blastocito	blastocyst
el blanqueador	"bleach, bleacher"
el desenfoque	blur
el localizador	booking reference
la callada	brush-off
la constructora	"builder, maker, building company"
*** 2271 - 2280 (/course/195613/spanish-nouns-4/228/)	
el anacardo	cashew
los sabañones	chilblains
la contorsión	"contortion, twist"
la floritura	"curlicue, flourish"
la dendrita	dendrite
el baratillo	dime store
el vahído	"dizzy turn, dizzy spell, black-out"
la embutición	drawing
el automotor	electric train
el electrodoméstico	"electrical appliance, white goods"
*** 2281 - 2290 (/course/195613/spanish-nouns-4/229/)	
la epiglotis	epiglottis
la épsilon	epsilon
la lipotimia	"fainting, fainting fit"
los sentires	feelings
el funky	"funky, funk"
la mueblería	"furniture shop, furniture store, furniture factory"
la galopada	"gallop, gallopade"
la gavota	gavotte
la genista	genista
el agarrón	grab
*** 2291 - 2300 (/course/195613/spanish-nouns-4/230/)	
el hierofante	hierophant
la imitadora	"impersonator, imitator, mimic"
el indonesio	Indonesian
el interpretador	interpreter
el lagunar	lagoon
la avefría	"lapwing, peewit, pewit"
el bogavante	lobster
el madrileño	Madrilenian
el monosílabo	monosyllable
la mialgia	myalgia
*** 2301 - 2310 (/course/195613/spanish-nouns-4/231/)	
la ñoña	"ninth, shit"
los descolgados	off the hook
el analgésico	"painkiller, analgesic"
la parestesia	paresthesia
el parasismo	paroxysm
las petequias	petechiae
el divulgador	popularizer
(el)(la) positivista	positivist
el posesivo	possessive
el prebendado	"prebendary, prebend"
*** 2311 - 2320 (/course/195613/spanish-nouns-4/232/)	
la prolepsis	prolepsis
el protonotario	"protonotary, prothonotary"
la reservación	"reservation, booking"
el aclarado	"rinse, rinse cycle, rinsing"
la sacramental	sacramental
la ensaladilla	salad
la paletada	shovelful
la trompada	"slap, blow, punch"
el chivato	sneak
los solípedos	solipeds
*** 2321 - 2330 (/course/195613/spanish-nouns-4/233/)	
la espinela	spinel
el espondeo	spondee
los acerados	steely
las zancas	stringer
el sinóptico	synoptics
la chufa	tiger nut
la triquiñuela	"trick, dodge"
el toscano	Tuscan
el estafermo	"twit, quintain"
el desvalido	underdog
*** 2331 - 2340 (/course/195613/spanish-nouns-4/234/)	
la ampolleta	"vial, sand timer, hourglass"
el andador	"walker, walkway"
el silbador	whistler
el zirconio	zirconium
la destructora	destroyer
el gablete	"gable, gable end"
la recolectora	picker
el efectismo	sensationalism
el vinicultor	winegrower
el ecólogo	ecologist
*** 2341 - 2350 (/course/195613/spanish-nouns-4/235/)	
el adulador	"flatterer, bootlicker"
la hemiplejía	hemiplegia
la mariguana	marijuana
el salmantino	from Salamanca
el acristalamiento	glazing
(el)(la) aimara	Aymara
la angulación	angulation
la anhidrita	anhydrite
la animalización	animalization
la aprendiza	"trainee, apprentice, learner"
*** 2391 - 2400 (/course/195613/spanish-nouns-4/236/)	
el remendón	"cobbler, tinker"
el rutilo	rutile
la saponificación	saponification
la satanización	demonization
la serología	serology
la sirga	towpath
el snooker	snooker
el tamboreo	drumming
el tapeo	tapas
el valentón	bully
*** 2421 - 2430 (/course/195613/spanish-nouns-4/237/)	
el trinchante	"carver, carving knife"
el castañeteo	"chatter, rattle"
la cunita	cradle
el torvisco	daphne
la diáfisis	diaphysis
la endecha	dirge
la desemejanza	dissimilarity
el perrero	dog fancier
el muñequito	doll
el afeminado	"effeminate, sissy"
*** 2361 - 2370 (/course/195613/spanish-nouns-4/238/)	
el coquito	nutsedge
la cronicidad	chronicity
el dáctilo	dactyl
la deceleración	deceleration
el derrick	derrick
la diarquía	diarchy
el ferromagnetismo	ferromagnetism
la gammagrafía	scintigraphy
la geriatría	geriatrics
el gobernalle	rudder
*** 2351 - 2360 (/course/195613/spanish-nouns-4/239/)	
la autoinducción	autoinduction
el baldeo	flushing
el berbiquí	"brace, bitbrace"
el blazer	blazer
la calcedonia	chalcedony
el calé	gypsy
el cañamazo	embroidery canvas
la catatonía	catatonia
la chirona	"pen, jug, nick"
la contraguerrilla	counterinsurgency
*** 2381 - 2390 (/course/195613/spanish-nouns-4/240/)	
la micología	mycology
la náutica	art of navigation
el orillo	"selvage, selvedge"
la osteopatía	osteopathy
el panizo	panic grass
la pardela	shearwater
el politburó	it politburo
la psicometría	psychometry
la punición	punishment
el relumbrón	"flash, trumpery"
*** 2401 - 2410 (/course/195613/spanish-nouns-4/241/)	
la lechuguilla	"frill, flounce, ruff"
la silleta	"small chair, seat, chair"
el herrerillo	tit
el torcedor	"spindle, torment, torture"
la pájara	"hen, hen bird, sneaky bitch"
el secadero	"drying place, dry plain, scrubland"
la azuela	"adz, adze"
la acordada	agreed
el ápex	apex
el correccional	approved school
*** 2371 - 2380 (/course/195613/spanish-nouns-4/242/)	
la hebe	Hebe
la hermeticidad	tightness
la heurística	heuristic
el hilio	hilum
la hiperemia	hyperemia
el hipertiroidismo	hyperthyroidism
la imprescriptibilidad	applicability
la indemnidad	indemnity
la leucorrea	leukorrhea
la lidocaína	lidocaine
*** 2411 - 2420 (/course/195613/spanish-nouns-4/243/)	
el argonauta	Argonaut
la bombacha	"baggy trousers, baggy pants, panties"
la bergamota	bergamot
el carnal	"brother, friend, pal"
el brocha	"brush, paintbrush, hanger-on"
la amurada	bulwark
la bursitis	bursitis
el cánido	canid
la cantárida	"cantharides, blister beetle"
(los)(las) cartaginenses	Carthaginians
*** 2451 - 2460 (/course/195613/spanish-nouns-4/244/)	
el piyama	pajamas
la paronomasia	paronomasia
la parotiditis	parotitis
(el)(la) partícipe	"participant, sharer, part"
la botana	"patch, plug, stopple"
el ordenante	payer
el plexiglás	"plexiglas, plexiglass, perspex"
la polaroid	Polaroid
(el)(la) pragmatista	pragmatist
los procariontes	prokaryotes
*** 2431 - 2440 (/course/195613/spanish-nouns-4/245/)	
el triturador	"garbage disposal unit, waste disposal unit"
la dorada	gilt head bream
la cacha	"handle, cheek"
el barbijo	headscarf
el berrido	howl
la infractora	infringing
la interventora	intervener
la burra	"jenny, female donkey, she-donkey"
el pelmazo	"jerk, bore, nuisance"
la barreta	jimmy
*** 2441 - 2450 (/course/195613/spanish-nouns-4/246/)	
el merecido	just deserts
la mocita	lass
la lila	"lilac, gay"
(el)(la) marsupial	marsupial
la habladuría	"nasty remark, scuttlebutt"
el obligado	"obbligato, prominent instrumental part"
(el)(la) oferente	offerer
el marginado	"outcast, dropout, outsider"
el oviducto	oviduct
el amo	owner
*** 2461 - 2470 (/course/195613/spanish-nouns-4/247/)	
el pegador	"puncher, glue"
la ajusticiada	put to death
el chanchullo	"racket, fiddle, scam"
(el)(la) replicante	replicant
la hendedura	"rift, slit, cleft"
(el)(la) imperial	"roof, top"
el bendito	"saint, simpleton"
el zapador	"sapper, pioneer"
el montado	small sandwich
el salivazo	spittlebug
*** 2481 - 2490 (/course/195613/spanish-nouns-4/248/)	
la videocasete	videocassette
el muñidor	ward-heeler
la tejeduría	weaving
(el)(la) justificante	"written proof, receipt, proof"
la hilaza	yarn
el contraveneno	antidote
la avara	"miser, tightwad"
la mezcladora	mixer
el ohmio	ohm
el postparto	postpartum
*** 2471 - 2480 (/course/195613/spanish-nouns-4/249/)	
el partidor	splitter
el supositorio	"suppository, cock, dick"
los treses	threes
el hachón	"torch, flambeau"
la domadora	"trainer, tamer, ringmaster"
la charola	tray
el triduo	triduum
el bombillo	"U-bend, trap, cylinder"
la versta	verst
la veza	vetch
*** 2491 - 2500 (/course/195613/spanish-nouns-4/250/)	
la sexóloga	sexologist
(el)(la) pakistaní	Pakistani
el segoviano	Segovia
el abundamiento	"abundance, plenty"
la acefalía	acephalia
el aerógrafo	"airbrush, aerograph"
la angiografía	angiography
la angora	angora
el apocamiento	bashfulness
el arao	guillemot
*** 2511 - 2520 (/course/195613/spanish-nouns-4/251/)	
la compunción	compunction
la copresidenta	Co-Chair
la cordada	roped
la embaucadora	trickster
el enajenamiento	alienation
la encamisada	jacketed
la estreptomicina	streptomycin
la fabada	"fabada, fabada asturiana"
el facilitador	facilitator
la galvanoplastia	electroplating
*** 2541 - 2550 (/course/195613/spanish-nouns-4/252/)	
el superagente	super agent
el tartán	"tartan, plaid, Tartan"
la tatarabuela	great-great-grandmother
la tenuidad	"tenuity, slenderness, feebleness"
el termoplástico	thermoplastic
el trimarán	trimaran
la usurera	"loan shark, usurer, shylock"
la verificabilidad	verifiability
el vitae	vita
el volantazo	swerve
*** 2501 - 2510 (/course/195613/spanish-nouns-4/253/)	
