בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ‬	In the beginning of God's preparing the heavens and the earth &#8212; 	In the beginning God created the heavens and the earth.	Genesis 1:1
וַיֹּ֙אמֶר֙ בַּת־מִ֣י אַ֔תְּ הַגִּ֥ידִי נָ֖א לִ֑י הֲיֵ֧שׁ בֵּית־אָבִ֛יךְ מָק֥וֹם לָ֖נוּ לָלִֽין׃ ‬	"and saith, 'Whose daughter art thou? declare to me, I pray thee, is the house of thy father a place for us to lodge in?'"	"and said, |Whose daughter are you? Please tell me. Is there room in your father's house for us to lodge in?|"	Genesis 24:23
וַתֹּ֣אמֶר אֵלָ֔יו בַּת־בְּתוּאֵ֖ל אָנֹ֑כִי בֶּן־מִלְכָּ֕ה אֲשֶׁ֥ר יָלְדָ֖ה לְנָחֽוֹר׃ ‬	"And she saith unto him, 'I am daughter of Bethuel, son of Milcah, whom she hath borne to Nahor.'"	"She said to him, |I am the daughter of Bethuel the son of Milcah, whom she bore to Nahor.|"	Genesis 24:24
וַתֹּ֣אמֶר אֵלָ֔יו גַּם־תֶּ֥בֶן גַּם־מִסְפּ֖וֹא רַ֣ב עִמָּ֑נוּ גַּם־מָק֖וֹם לָלֽוּן׃ ‬	"She saith also unto him, 'Both straw and provender are abundant with us, also a place to lodge in.'"	"She said moreover to him, |We have both straw and provender enough, and room to lodge in.|"	Genesis 24:25
וַיִּקֹּ֣ד הָאִ֔ישׁ וַיִּשְׁתַּ֖חוּ לַֽיהוָֽה׃ ‬	"And the man boweth, and doth obeisance to Jehovah,"	"The man bowed his head, and worshiped Yahweh."	Genesis 24:26
וַיֹּ֗אמֶר בָּר֤וּךְ יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם אֲ֠שֶׁר לֹֽא־עָזַ֥ב חַסְדּ֛וֹ וַאֲמִתּ֖וֹ מֵעִ֣ם אֲדֹנִ֑י אָנֹכִ֗י בַּדֶּ֙רֶךְ֙ נָחַ֣נִי יְהוָ֔ה בֵּ֖ית אֲחֵ֥י אֲדֹנִֽי׃ ‬	"and saith, 'Blessed is Jehovah, God of my lord Abraham, who hath not left off His kindness and His truth with my lord; &#8212; I being in the way, Jehovah hath led me to the house of my lord's brethren.'"	"He said, |Blessed be Yahweh, the God of my master Abraham, who has not forsaken his loving kindness and his truth toward my master. As for me, Yahweh has led me in the way to the house of my master's relatives.|"	Genesis 24:27
וַתָּ֙רָץ֙ הַֽנַּעֲרָ֔ וַתַּגֵּ֖ד לְבֵ֣ית אִמָּ֑הּ כַּדְּבָרִ֖ים הָאֵֽלֶּה׃ ‬	"And the young person runneth, and declareth to the house of her mother according to these words."	"The young lady ran, and told her mother's house about these words."	Genesis 24:28
וּלְרִבְקָ֥ה אָ֖ח וּשְׁמ֣וֹ לָבָ֑ן וַיָּ֨רָץ לָבָ֧ן אֶל־הָאִ֛ישׁ הַח֖וּצָה אֶל־הָעָֽיִן׃ ‬	"And Rebekah hath a brother, and his name is Laban, and Laban runneth unto the man who is without, unto the fountain;"	"Rebekah had a brother, and his name was Laban. Laban ran out to the man, to the spring."	Genesis 24:29
וַיְהִ֣י ׀ כִּרְאֹ֣ת אֶת־הַנֶּ֗זֶם וְֽאֶת־הַצְּמִדִים֮ עַל־יְדֵ֣י אֲחֹתוֹ֒ וּכְשָׁמְע֗וֹ אֶת־דִּבְרֵ֞י רִבְקָ֤ה אֲחֹתוֹ֙ לֵאמֹ֔ר כֹּֽה־דִבֶּ֥ר אֵלַ֖י הָאִ֑ישׁ וַיָּבֹא֙ אֶל־הָאִ֔ישׁ וְהִנֵּ֛ה עֹמֵ֥ד עַל־הַגְּמַלִּ֖ים עַל־הָעָֽיִן׃ ‬	"yea, it cometh to pass, when he seeth the ring, and the bracelets on the hands of his sister, and when he heareth the words of Rebekah his sister, saying, 'Thus hath the man spoken unto me,' that he cometh in unto the man, and lo, he is standing by the camels by the fountain."	"It happened, when he saw the ring, and the bracelets on his sister's hands, and when he heard the words of Rebekah his sister, saying, |This is what the man said to me,| that he came to the man. Behold, he was standing by the camels at the spring."	Genesis 24:30
וַיֹּ֕אמֶר בּ֖וֹא בְּר֣וּךְ יְהוָ֑ה לָ֤מָּה תַעֲמֹד֙ בַּח֔וּץ וְאָנֹכִי֙ פִּנִּ֣יתִי הַבַּ֔יִת וּמָק֖וֹם לַגְּמַלִּֽים׃ ‬	"And he saith, 'Come in, O blessed one of Jehovah, why standest thou without, and I &#8212; I have prepared the house and place for the camels!'"	"He said, |Come in, you blessed of Yahweh. Why do you stand outside? For I have prepared the house, and room for the camels.|"	Genesis 24:31
וַיָּבֹ֤א הָאִישׁ֙ הַבַּ֔יְתָה וַיְפַתַּ֖ח הַגְּמַלִּ֑ים וַיִּתֵּ֨ן תֶּ֤בֶן וּמִסְפּוֹא֙ לַגְּמַלִּ֔ים וּמַ֙יִם֙ לִרְחֹ֣ץ רַגְלָ֔יו וְרַגְלֵ֥י הָאֲנָשִׁ֖ים אֲשֶׁ֥ר אִתּֽוֹ׃ ‬	"And he bringeth in the man into the house, and looseth the camels, and giveth straw and provender for the camels, and water to wash his feet, and the feet of the men who are with him:"	"The man came into the house, and he unloaded the camels. He gave straw and provender for the camels, and water to wash his feet and the feet of the men who were with him."	Genesis 24:32
*ויישם **וַיּוּשַׂ֤ם לְפָנָיו֙ לֶאֱכֹ֔ל וַיֹּ֙אמֶר֙ לֹ֣א אֹכַ֔ל עַ֥ד אִם־דִּבַּ֖רְתִּי דְּבָרָ֑י וַיֹּ֖אמֶר דַּבֵּֽר׃ ‬	"and setteth before him to eat; but he saith, 'I do not eat till I have spoken my word;' and he saith, 'Speak.'"	"Food was set before him to eat, but he said, |I will not eat until I have told my message.| He said, |Speak on.|"	Genesis 24:33
וַיֹּאמַ֑ר עֶ֥בֶד אַבְרָהָ֖ם אָנֹֽכִי׃ ‬	"And he saith, 'I am Abraham's servant;"	"He said, |I am Abraham's servant."	Genesis 24:34
וַיהוָ֞ה בֵּרַ֧ךְ אֶת־אֲדֹנִ֛י מְאֹ֖ד וַיִּגְדָּ֑ל וַיִּתֶּן־ל֞וֹ צֹ֤אן וּבָקָר֙ וְכֶ֣סֶף וְזָהָ֔ב וַעֲבָדִם֙ וּשְׁפָחֹ֔ת וּגְמַלִּ֖ים וַחֲמֹרִֽים׃ ‬	"and Jehovah hath blessed my lord exceedingly, and he is great; and He giveth to him flock, and herd, and silver, and gold, and men-servants, and maid-servants, and camels, and asses;"	"Yahweh has blessed my master greatly. He has become great. He has given him flocks and herds, silver and gold, male servants and female servants, and camels and donkeys."	Genesis 24:35
וַתֵּ֡לֶד שָׂרָה֩ אֵ֨שֶׁת אֲדֹנִ֥י בֵן֙ לַֽאדֹנִ֔י אַחֲרֵ֖י זִקְנָתָ֑הּ וַיִּתֶּן־לּ֖וֹ‪[1]‬ אֶת־כָּל־אֲשֶׁר־לֽוֹ׃ ‬	"and Sarah, my lord's wife, beareth a son to my lord, after she hath been aged, and he giveth to him all that he hath."	"Sarah, my master's wife, bore a son to my master when she was old. He has given all that he has to him."	Genesis 24:36
וַיַּשְׁבִּעֵ֥נִי אֲדֹנִ֖י לֵאמֹ֑ר לֹא־תִקַּ֤ח אִשָּׁה֙ לִבְנִ֔י מִבְּנוֹת֙ הַֽכְּנַעֲנִ֔י אֲשֶׁ֥ר אָנֹכִ֖י יֹשֵׁ֥ב בְּאַרְצֽוֹ׃ ‬	"'And my lord causeth me to swear, saying, Thou dost not take a wife to my son from the daughters of the Canaanite, in whose land I am dwelling."	"My master made me swear, saying, 'You shall not take a wife for my son of the daughters of the Canaanites, in whose land I live,"	Genesis 24:37
אִם־לֹ֧א אֶל־בֵּית־אָבִ֛י תֵּלֵ֖ךְ וְאֶל־מִשְׁפַּחְתִּ֑י וְלָקַחְתָּ֥ אִשָּׁ֖ה לִבְנִֽי׃ ‬	"If not &#8212; unto the house of my father thou dost go, and unto my family, and thou hast taken a wife for my son."	"but you shall go to my father's house, and to my relatives, and take a wife for my son.'"	Genesis 24:38
וָאֹמַ֖ר אֶל־אֲדֹנִ֑י אֻלַ֛י לֹא־תֵלֵ֥ךְ הָאִשָּׁ֖ה אַחֲרָֽי׃ ‬	"'And I say unto my lord, It may be the woman doth not come after me;"	"I asked my master, 'What if the woman will not follow me?'"	Genesis 24:39
וַיֹּ֖אמֶר אֵלָ֑י יְהוָ֞ה אֲשֶׁר־הִתְהַלַּ֣כְתִּי לְפָנָ֗יו יִשְׁלַ֨ח מַלְאָכ֤וֹ אִתָּךְ֙ וְהִצְלִ֣יחַ דַּרְכֶּ֔ךָ וְלָקַחְתָּ֤ אִשָּׁה֙ לִבְנִ֔י מִמִּשְׁפַּחְתִּ֖י וּמִבֵּ֥ית אָבִֽי׃ ‬	"and he saith unto me, Jehovah, before whom I have walked habitually, doth send His messenger with thee, and hath prospered thy way, and thou hast taken a wife for my son from my family, and from the house of my father;"	"He said to me, 'Yahweh, before whom I walk, will send his angel with you, and prosper your way. You shall take a wife for my son of my relatives, and of my father's house."	Genesis 24:40
אָ֤ז תִּנָּקֶה֙ מֵאָ֣לָתִ֔י כִּ֥י תָב֖וֹא אֶל־מִשְׁפַּחְתִּ֑י וְאִם־לֹ֤א יִתְּנוּ֙ לָ֔ךְ וְהָיִ֥יתָ נָקִ֖י מֵאָלָתִֽי׃ ‬	"then art thou acquitted from my oath, when thou comest unto my family, and if they give not one to thee; then thou hast been acquitted from my oath."	"Then will you be clear from my oath, when you come to my relatives. If they don't give her to you, you shall be clear from my oath.'"	Genesis 24:41
וָאָבֹ֥א הַיּ֖וֹם אֶל־הָעָ֑יִן וָאֹמַ֗ר יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם אִם־יֶשְׁךָ־נָּא֙ מַצְלִ֣יחַ דַּרְכִּ֔י אֲשֶׁ֥ר אָנֹכִ֖י הֹלֵ֥ךְ עָלֶֽיהָ׃ ‬	"And I come to-day unto the fountain, and I say, Jehovah, God of my lord Abraham, if Thou art, I pray Thee, making prosperous my way in which I am going &#8212; "	"I came this day to the spring, and said, 'Yahweh, the God of my master Abraham, if now you do prosper my way which I go&#8212;"	Genesis 24:42
הִנֵּ֛ה אָנֹכִ֥י נִצָּ֖ב עַל־עֵ֣ין הַמָּ֑יִם וְהָיָ֤ה הָֽעַלְמָה֙ הַיֹּצֵ֣את לִשְׁאֹ֔ב וְאָמַרְתִּ֣י אֵלֶ֔יהָ הַשְׁקִֽינִי־נָ֥א מְעַט־מַ֖יִם מִכַּדֵּֽךְ׃ ‬	"(lo, I am standing by the fountain of water), then the virgin who is coming out to draw, and I have said unto her, Let me drink, I pray thee, a little water from thy pitcher,"	"behold, I am standing by this spring of water. Let it happen, that the maiden who comes forth to draw, to whom I will say, |Please give me a little water from your pitcher to drink,|"	Genesis 24:43
וְאָמְרָ֤ה אֵלַי֙ גַּם־אַתָּ֣ה שְׁתֵ֔ה וְגַ֥ם לִגְמַלֶּ֖יךָ אֶשְׁאָ֑ב הִ֣וא הָֽאִשָּׁ֔ה אֲשֶׁר־הֹכִ֥יחַ יְהוָ֖ה לְבֶן־אֲדֹנִֽי׃ ‬	"and she hath said unto me, Both drink thou, and also for thy camels I draw &#8212; she is the woman whom Jehovah hath decided for my lord's son."	"and she will tell me, |Drink, and I will also draw for your camels,|&#8212;let her be the woman whom Yahweh has appointed for my master's son.'"	Genesis 24:44
אֲנִי֩ טֶ֨רֶם אֲכַלֶּ֜ה לְדַבֵּ֣ר אֶל־לִבִּ֗י וְהִנֵּ֨ה רִבְקָ֤ה יֹצֵאת֙ וְכַדָּ֣הּ עַל־שִׁכְמָ֔הּ וַתֵּ֥רֶד הָעַ֖יְנָה וַתִּשְׁאָ֑ב וָאֹמַ֥ר אֵלֶ֖יהָ הַשְׁקִ֥ינִי נָֽא׃ ‬	"'Before I finish speaking unto my heart, then lo, Rebekah is coming out, and her pitcher on her shoulder, and she goeth down to the fountain, and draweth; and I say unto her, Let me drink, I pray thee,"	"Before I had finished speaking in my heart, behold, Rebekah came forth with her pitcher on her shoulder. She went down to the spring, and drew. I said to her, 'Please let me drink.'"	Genesis 24:45
וַתְּמַהֵ֗ר וַתּ֤וֹרֶד כַּדָּהּ֙ מֵֽעָלֶ֔יהָ וַתֹּ֣אמֶר שְׁתֵ֔ה וְגַם־גְּמַלֶּ֖יךָ אַשְׁקֶ֑ה וָאֵ֕שְׁתְּ וְגַ֥ם הַגְּמַלִּ֖ים הִשְׁקָֽתָה׃ ‬	"and she hasteth and letteth down her pitcher from off her and saith, Drink, and thy camels also I water; and I drink, and the camels also she hath watered."	"She hurried and let down her pitcher from her shoulder, and said, 'Drink, and I will also give your camels a drink.' So I drank, and she also gave the camels a drink."	Genesis 24:46
וָאֶשְׁאַ֣ל אֹתָ֗הּ וָאֹמַר֮ בַּת־מִ֣י אַתְּ֒ וַתֹּ֗אמֶר בַּת־בְּתוּאֵל֙ בֶּן־נָח֔וֹר אֲשֶׁ֥ר יָֽלְדָה־לּ֖וֹ מִלְכָּ֑ה וָאָשִׂ֤ם הַנֶּ֙זֶם֙ עַל־אַפָּ֔הּ וְהַצְּמִידִ֖ים עַל־יָדֶֽיהָ׃ ‬	"And I ask her, and say, Whose daughter art thou? and she saith, Daughter of Bethuel, son of Nahor, whom Milcah hath borne to him, and I put the ring on her nose, and the bracelets on her hands,"	"I asked her, and said, 'Whose daughter are you?' She said, 'The daughter of Bethuel, Nahor's son, whom Milcah bore to him.' I put the ring on her nose, and the bracelets on her hands."	Genesis 24:47
וָאֶקֹּ֥ד וָֽאֶשְׁתַּחֲוֶ֖ה לַיהוָ֑ה וָאֲבָרֵ֗ךְ אֶת־יְהוָה֙ אֱלֹהֵי֙ אֲדֹנִ֣י אַבְרָהָ֔ם אֲשֶׁ֤ר הִנְחַ֙נִי֙ בְּדֶ֣רֶךְ אֱמֶ֔ת לָקַ֛חַת אֶת־בַּת־אֲחִ֥י אֲדֹנִ֖י לִבְנֽוֹ׃ ‬	"and I bow, and do obeisance before Jehovah, and I bless Jehovah, God of my lord Abraham, who hath led me in the true way to receive the daughter of my lord's brother for his son."	"I bowed my head, and worshiped Yahweh, and blessed Yahweh, the God of my master Abraham, who had led me in the right way to take my master's brother's daughter for his son."	Genesis 24:48
וְ֠עַתָּה אִם־יֶשְׁכֶ֨ם עֹשִׂ֜ים חֶ֧סֶד וֶֽאֱמֶ֛ת אֶת־אֲדֹנִ֖י הַגִּ֣ידוּ לִ֑י וְאִם־לֹ֕א הַגִּ֣ידוּ לִ֔י וְאֶפְנֶ֥ה עַל־יָמִ֖ין א֥וֹ עַל־שְׂמֹֽאל׃ ‬	"'And now, if ye are dealing kindly and truly with my lord, declare to me; and if not, declare to me; and I turn unto the right or unto the left.'"	"Now if you will deal kindly and truly with my master, tell me. If not, tell me, that I may turn to the right hand, or to the left.|"	Genesis 24:49
וַיַּ֨עַן לָבָ֤ן וּבְתוּאֵל֙ וַיֹּ֣אמְר֔וּ מֵיְהוָ֖ה יָצָ֣א הַדָּבָ֑ר לֹ֥א נוּכַ֛ל דַּבֵּ֥ר אֵלֶ֖יךָ רַ֥ע אוֹ־טֽוֹב׃ ‬	"And Laban answereth &#8212; Bethuel also &#8212; and they say, 'The thing hath gone out from Jehovah; we are not able to speak unto thee bad or good;"	"Then Laban and Bethuel answered, |The thing proceeds from Yahweh. We can't speak to you bad or good."	Genesis 24:50
הִנֵּֽה־רִבְקָ֥ה לְפָנֶ֖יךָ קַ֣ח וָלֵ֑ךְ וּתְהִ֤י אִשָּׁה֙ לְבֶן־אֲדֹנֶ֔יךָ כַּאֲשֶׁ֖ר דִּבֶּ֥ר יְהוָֽה׃ ‬	"lo, Rebekah is before thee, take and go, and she is a wife to thy lord's son, as Jehovah hath spoken.'"	"Behold, Rebekah is before you. Take her, and go, and let her be your master's son's wife, as Yahweh has spoken.|"	Genesis 24:51
וַיְהִ֕י כַּאֲשֶׁ֥ר שָׁמַ֛ע עֶ֥בֶד אַבְרָהָ֖ם אֶת־דִּבְרֵיהֶ֑ם וַיִּשְׁתַּ֥חוּ אַ֖רְצָה לַֽיהוָֽה׃ ‬	"And it cometh to pass, when the servant of Abraham hath heard their words, that he boweth himself towards the earth before Jehovah;"	"It happened that when Abraham's servant heard their words, he bowed himself down to the earth to Yahweh."	Genesis 24:52
וַיּוֹצֵ֨א הָעֶ֜בֶד כְּלֵי־כֶ֨סֶף וּכְלֵ֤י זָהָב֙ וּבְגָדִ֔ים וַיִּתֵּ֖ן לְרִבְקָ֑ה וּמִ֨גְדָּנֹ֔ת נָתַ֥ן לְאָחִ֖יהָ וּלְאִמָּֽהּ׃ ‬	"and the servant taketh out vessels of silver, and vessels of gold, and garments, and giveth to Rebekah; precious things also he hath given to her brother and to her mother."	"The servant brought forth jewels of silver, and jewels of gold, and clothing, and gave them to Rebekah. He also gave precious things to her brother and her mother."	Genesis 24:53
וַיֹּאכְל֣וּ וַיִּשְׁתּ֗וּ ה֛וּא וְהָאֲנָשִׁ֥ים אֲשֶׁר־עִמּ֖וֹ וַיָּלִ֑ינוּ וַיָּק֣וּמוּ בַבֹּ֔קֶר וַיֹּ֖אמֶר שַׁלְּחֻ֥נִי לַֽאדֹנִֽי׃ ‬	"And they eat and drink, he and the men who are with him, and lodge all night; and they rise in the morning, and he saith, 'Send me to my lord;'"	"They ate and drank, he and the men who were with him, and stayed all night. They rose up in the morning, and he said, |Send me away to my master.|"	Genesis 24:54
וַיֹּ֤אמֶר אָחִ֙יהָ֙ וְאִמָּ֔הּ תֵּשֵׁ֨ב הַנַּעֲרָ֥ אִתָּ֛נוּ יָמִ֖ים א֣וֹ עָשׂ֑וֹר אַחַ֖ר תֵּלֵֽךְ׃ ‬	"and her brother saith &#8212; her mother also &#8212; 'Let the young person abide with us a week or ten days, afterwards doth she go.'"	"Her brother and her mother said, |Let the young lady stay with us a few days, at least ten. After that she will go.|"	Genesis 24:55
וַיֹּ֤אמֶר אֲלֵהֶם֙ אַל־תְּאַחֲר֣וּ אֹתִ֔י וַֽיהוָ֖ה הִצְלִ֣יחַ דַּרְכִּ֑י שַׁלְּח֕וּנִי וְאֵלְכָ֖ה לַֽאדֹנִֽי׃ ‬	"And he saith unto them, 'Do not delay me, seeing Jehovah hath prospered my way; send me away, and I go to my lord;'"	"He said to them, |Don't hinder me, since Yahweh has prospered my way. Send me away that I may go to my master.|"	Genesis 24:56
וַיֹּאמְר֖וּ נִקְרָ֣א לַֽנַּעֲרָ֑ וְנִשְׁאֲלָ֖ה אֶת־פִּֽיהָ׃ ‬	"and they say, 'Let us call for the young person, and ask at her mouth;'"	"They said, |We will call the young lady, and ask her.|"	Genesis 24:57
וַיִּקְרְא֤וּ לְרִבְקָה֙ וַיֹּאמְר֣וּ אֵלֶ֔יהָ הֲתֵלְכִ֖י עִם־הָאִ֣ישׁ הַזֶּ֑ה וַתֹּ֖אמֶר אֵלֵֽךְ׃ ‬	"and they call for Rebekah, and say unto her, 'Dost thou go with this man?' and she saith, 'I go.'"	"They called Rebekah, and said to her, |Will you go with this man?| She said, |I will go.|"	Genesis 24:58
וַֽיְשַׁלְּח֛וּ אֶת־רִבְקָ֥ה אֲחֹתָ֖ם וְאֶת־מֵנִקְתָּ֑הּ וְאֶת־עֶ֥בֶד אַבְרָהָ֖ם וְאֶת־אֲנָשָֽׁיו׃ ‬	"And they send away Rebekah their sister, and her nurse, and Abraham's servant, and his men;"	"They sent away Rebekah, their sister, with her nurse, Abraham's servant, and his men."	Genesis 24:59
וַיְבָרֲכ֤וּ אֶת־רִבְקָה֙ וַיֹּ֣אמְרוּ לָ֔הּ אֲחֹתֵ֕נוּ אַ֥תְּ הֲיִ֖י לְאַלְפֵ֣י רְבָבָ֑ה וְיִירַ֣שׁ זַרְעֵ֔ךְ אֵ֖ת שַׁ֥עַר שֹׂנְאָֽיו׃ ‬	"and they bless Rebekah, and say to her, 'Thou art our sister; become thou thousands of myriads, and thy seed doth possess the gate of those hating it.'"	"They blessed Rebekah, and said to her, |Our sister, may you be the mother of thousands of ten thousands, and let your seed possess the gate of those who hate them.|"	Genesis 24:60
וַתָּ֨קָם רִבְקָ֜ה וְנַעֲרֹתֶ֗יהָ וַתִּרְכַּ֙בְנָה֙ עַל־הַגְּמַלִּ֔ים וַתֵּלַ֖כְנָה אַחֲרֵ֣י הָאִ֑ישׁ וַיִּקַּ֥ח הָעֶ֛בֶד אֶת־רִבְקָ֖ה וַיֵּלַֽךְ׃ ‬	"And Rebekah and her young women arise, and ride on the camels, and go after the man; and the servant taketh Rebekah and goeth."	"Rebekah arose with her ladies. They rode on the camels, and followed the man. The servant took Rebekah, and went his way."	Genesis 24:61
וְיִצְחָק֙ בָּ֣א מִבּ֔וֹא בְּאֵ֥ר לַחַ֖י רֹאִ֑י וְה֥וּא יוֹשֵׁ֖ב בְּאֶ֥רֶץ הַנֶּֽגֶב׃ ‬	"And Isaac hath come in from the entrance of the Well of the Living One, my Beholder; and he is dwelling in the land of the south,"	"Isaac came from the way of Beer Lahai Roi, for he lived in the land of the South."	Genesis 24:62
וַיֵּצֵ֥א יִצְחָ֛ק לָשׂ֥וּחַ בַּשָּׂדֶ֖ה לִפְנ֣וֹת עָ֑רֶב וַיִּשָּׂ֤א עֵינָיו֙ וַיַּ֔רְא וְהִנֵּ֥ה גְמַלִּ֖ים בָּאִֽים׃ ‬	"and Isaac goeth out to meditate in the field, at the turning of the evening, and he lifteth up his eyes, and looketh, and lo, camels are coming."	"Isaac went out to meditate in the field at the evening. He lifted up his eyes, and saw, and, behold, there were camels coming."	Genesis 24:63
וַתִּשָּׂ֤א רִבְקָה֙ אֶת־עֵינֶ֔יהָ וַתֵּ֖רֶא אֶת־יִצְחָ֑ק וַתִּפֹּ֖ל מֵעַ֥ל הַגָּמָֽל׃ ‬	"And Rebekah lifteth up her eyes, and seeth Isaac, and alighteth from off the camel;"	"Rebekah lifted up her eyes, and when she saw Isaac, she dismounted from the camel."	Genesis 24:64
וַתֹּ֣אמֶר אֶל־הָעֶ֗בֶד מִֽי־הָאִ֤ישׁ הַלָּזֶה֙ הַהֹלֵ֤ךְ בַּשָּׂדֶה֙ לִקְרָאתֵ֔נוּ וַיֹּ֥אמֶר הָעֶ֖בֶד ה֣וּא אֲדֹנִ֑י וַתִּקַּ֥ח הַצָּעִ֖יף וַתִּתְכָּֽס׃ ‬	"and she saith unto the servant, 'Who is this man who is walking in the field to meet us?' and the servant saith, 'It is my lord;' and she taketh the veil, and covereth herself."	"She said to the servant, |Who is the man who is walking in the field to meet us?| The servant said, |It is my master.| She took her veil, and covered herself."	Genesis 24:65
וַיְסַפֵּ֥ר הָעֶ֖בֶד לְיִצְחָ֑ק אֵ֥ת כָּל־הַדְּבָרִ֖ים אֲשֶׁ֥ר עָשָֽׂה׃ ‬	"And the servant recounteth to Isaac all the things that he hath done,"	The servant told Isaac all the things that he had done.	Genesis 24:66
וַיְבִאֶ֣הָ יִצְחָ֗ק הָאֹ֙הֱלָה֙ שָׂרָ֣ה אִמּ֔וֹ וַיִּקַּ֧ח אֶת־רִבְקָ֛ה וַתְּהִי־ל֥וֹ לְאִשָּׁ֖ה וַיֶּאֱהָבֶ֑הָ וַיִּנָּחֵ֥ם יִצְחָ֖ק אַחֲרֵ֥י אִמּֽוֹ׃ פ ‬	"and Isaac bringeth her in unto the tent of Sarah his mother, and he taketh Rebekah, and she becometh his wife, and he loveth her, and Isaac is comforted after the death of his mother."	"Isaac brought her into his mother Sarah's tent, and took Rebekah, and she became his wife. He loved her. Isaac was comforted after his mother's death."	Genesis 24:67
וַיֹּ֧סֶף אַבְרָהָ֛ם וַיִּקַּ֥ח אִשָּׁ֖ה וּשְׁמָ֥הּ קְטוּרָֽה׃ ‬	"And Abraham addeth and taketh a wife, and her name is Keturah;"	"Abraham took another wife, and her name was Keturah."	Genesis 25:1
וַתֵּ֣לֶד ל֗וֹ אֶת־זִמְרָן֙ וְאֶת־יָקְשָׁ֔ן וְאֶת־מְדָ֖ן וְאֶת־מִדְיָ֑ן וְאֶת־יִשְׁבָּ֖ק וְאֶת־שֽׁוּחַ׃ ‬	"and she beareth to him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah."	"She bore him Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah."	Genesis 25:2
וְיָקְשָׁ֣ן יָלַ֔ד אֶת־שְׁבָ֖א וְאֶת־דְּדָ֑ן וּבְנֵ֣י דְדָ֔ן הָי֛וּ אַשּׁוּרִ֥ם וּלְטוּשִׁ֖ים וּלְאֻמִּֽים׃ ‬	"And Jokshan hath begotten Sheba and Dedan; and the sons of Dedan were Asshurim, and Letushim, and Leummim;"	"Jokshan became the father of Sheba, and Dedan. The sons of Dedan were Asshurim, Letushim, and Leummim."	Genesis 25:3
וּבְנֵ֣י מִדְיָ֗ן עֵיפָ֤ה וָעֵ֙פֶר֙ וַחֲנֹ֔ךְ וַאֲבִידָ֖ע וְאֶלְדָּעָ֑ה כָּל־אֵ֖לֶּה בְּנֵ֥י קְטוּרָֽה׃ ‬	"and the sons of Midian are Ephah, and Epher, and Hanoch, and Abidah, and Eldaah: all these are sons of Keturah."	"The sons of Midian: Ephah, Epher, Hanoch, Abida, and Eldaah. All these were the children of Keturah."	Genesis 25:4
וַיִּתֵּ֧ן אַבְרָהָ֛ם אֶת־כָּל־אֲשֶׁר־ל֖וֹ לְיִצְחָֽק׃ ‬	And Abraham giveth all that he hath to Isaac;	"Abraham gave all that he had to Isaac,"	Genesis 25:5
וְלִבְנֵ֤י הַפִּֽילַגְשִׁים֙ אֲשֶׁ֣ר לְאַבְרָהָ֔ם נָתַ֥ן אַבְרָהָ֖ם מַתָּנֹ֑ת וַֽיְשַׁלְּחֵ֞ם מֵעַ֨ל יִצְחָ֤ק בְּנוֹ֙ בְּעוֹדֶ֣נּוּ חַ֔י קֵ֖דְמָה אֶל־אֶ֥רֶץ קֶֽדֶם׃ ‬	"and to the sons of the concubines whom Abraham hath, Abraham hath given gifts, and sendeth them away from Isaac his son (in his being yet alive) eastward, unto the east country."	"but to the sons of Abraham's concubines, Abraham gave gifts. He sent them away from Isaac his son, while he yet lived, eastward, to the east country."	Genesis 25:6
וְאֵ֗לֶּה יְמֵ֛י שְׁנֵֽי־חַיֵּ֥י אַבְרָהָ֖ם אֲשֶׁר־חָ֑י מְאַ֥ת שָׁנָ֛ה וְשִׁבְעִ֥ים שָׁנָ֖ה וְחָמֵ֥שׁ שָׁנִֽים׃ ‬	"And these are the days of the years of the life of Abraham, which he lived, a hundred and seventy and five years;"	These are the days of the years of Abraham's life which he lived: one hundred seventy-five years.	Genesis 25:7
וַיִּגְוַ֨ע וַיָּ֧מָת אַבְרָהָ֛ם בְּשֵׂיבָ֥ה טוֹבָ֖ה זָקֵ֣ן וְשָׂבֵ֑עַ וַיֵּאָ֖סֶף אֶל־עַמָּֽיו׃ ‬	"and Abraham expireth, and dieth in a good old age, aged and satisfied, and is gathered unto his people."	"Abraham gave up the spirit, and died in a good old age, an old man, and full of years, and was gathered to his people."	Genesis 25:8
